Date,Open,High,Low,Close,Volume,Adj Close
2016-04-29,666.00,669.97998,654.00,659.590027,10291800,659.590027
2016-04-28,615.539978,626.799988,599.200012,602.00,7142100,602.00
2016-04-27,611.799988,615.950012,601.280029,606.570007,4020800,606.570007
2016-04-26,626.169983,626.75,614.880005,616.880005,2492000,616.880005
2016-04-25,616.609985,626.97998,616.25,626.200012,2666700,626.200012
2016-04-22,624.469971,628.25,611.559998,620.50,5069900,620.50
2016-04-21,631.00,637.820007,628.50,631.00,2550900,631.00
2016-04-20,630.00,636.549988,623.00,632.98999,2601500,632.98999
2016-04-19,637.140015,638.01001,620.799988,627.900024,4048800,627.900024
2016-04-18,625.349976,637.640015,624.960022,635.349976,4336400,635.349976
2016-04-15,621.919983,626.77002,618.109985,625.890015,2880900,625.890015
2016-04-14,615.070007,624.380005,615.070007,620.75,3474300,620.75
2016-04-13,607.679993,616.809998,605.289978,614.820007,4209800,614.820007
2016-04-12,598.400024,604.059998,592.309998,603.169983,2636300,603.169983
2016-04-11,596.140015,604.00,594.909973,595.929993,2696500,595.929993
2016-04-08,594.320007,597.859985,589.00,594.599976,2589200,594.599976
2016-04-07,598.76001,599.599976,589.080017,591.429993,3153700,591.429993
2016-04-06,587.52002,602.390015,587.50,602.080017,2833500,602.080017
2016-04-05,590.77002,593.469971,585.25,586.140015,2277200,586.140015
2016-04-04,599.00,599.50,590.549988,593.190002,2469600,593.190002
2016-04-01,590.48999,599.030029,588.299988,598.50,2912400,598.50
2016-03-31,599.280029,600.75,592.210022,593.640015,2673600,593.640015
2016-03-30,596.710022,603.23999,595.00,598.690002,3888000,598.690002
2016-03-29,580.150024,595.849976,576.50,593.859985,4167100,593.859985
2016-03-28,584.400024,584.75,575.559998,579.869995,3118000,579.869995
2016-03-24,567.109985,583.549988,567.080017,582.950012,5141600,582.950012
2016-03-23,561.00,572.47998,558.099976,569.630005,3966100,569.630005
2016-03-22,545.109985,562.76001,545.049988,560.47998,3990900,560.47998
2016-03-21,548.909973,555.23999,538.580017,553.97998,5146100,553.97998
2016-03-18,560.940002,562.330017,546.090027,552.080017,7263300,552.080017
2016-03-17,569.51001,571.400024,555.01001,559.440002,5918200,559.440002
2016-03-16,576.640015,581.320007,571.140015,574.27002,3474600,574.27002
2016-03-15,571.00,581.52002,567.00,577.02002,3866900,577.02002
2016-03-14,567.00,576.890015,563.049988,573.369995,3451900,573.369995
2016-03-11,566.950012,570.059998,562.72998,569.609985,3755400,569.609985
2016-03-10,566.73999,567.00,547.900024,558.929993,3914300,558.929993
2016-03-09,559.559998,560.349976,550.130005,559.469971,4373300,559.469971
2016-03-08,557.869995,571.349976,554.73999,560.26001,4709400,560.26001
2016-03-07,573.539978,573.630005,555.549988,562.799988,4926900,562.799988
2016-03-04,581.070007,581.400024,571.070007,575.140015,3405100,575.140015
2016-03-03,577.960022,579.869995,573.109985,577.48999,2736700,577.48999
2016-03-02,581.75,585.00,573.700012,580.210022,4576900,580.210022
2016-03-01,556.289978,579.25,556.00,579.039978,5014400,579.039978
2016-02-29,554.00,564.809998,552.51001,552.52002,4013400,552.52002
2016-02-26,560.119995,562.50,553.169983,555.22998,4858200,555.22998
2016-02-25,555.52002,559.390015,545.289978,555.150024,4510500,555.150024
2016-02-24,545.75,554.27002,533.150024,554.039978,6207300,554.039978
2016-02-23,555.549988,556.909973,545.330017,552.940002,4035900,552.940002
2016-02-22,542.200012,560.650024,541.080017,559.50,5541100,559.50
2016-02-19,520.710022,535.950012,515.349976,534.900024,4941100,534.900024
