Date,Open,High,Low,Close,Volume,Adj Close
2016-04-29,49.639999,51.779999,49.50,51.700001,2181300,51.700001
2016-04-28,49.900002,50.279999,49.02,49.380001,1492500,49.380001
2016-04-27,49.369999,50.529999,49.369999,49.630001,1342800,49.630001
2016-04-26,49.689999,50.509998,49.369999,49.50,1226800,49.50
2016-04-25,49.700001,50.84,49.529999,49.860001,915800,49.860001
2016-04-22,49.23,50.25,48.57,49.849998,1496000,49.849998
2016-04-21,48.77,50.34,48.75,49.59,1629900,49.59
2016-04-20,47.599998,48.279999,46.790001,47.77,1112600,47.77
2016-04-19,48.950001,49.25,46.50,47.00,1593300,47.00
2016-04-18,47.91,49.18,47.619999,48.82,1070200,48.82
2016-04-15,48.00,48.389999,47.490002,48.169998,762400,48.169998
2016-04-14,47.900002,48.75,47.73,48.139999,1450900,48.139999
2016-04-13,44.349998,48.00,44.189999,47.880001,2516100,47.880001
2016-04-12,44.799999,45.139999,43.830002,44.009998,1320300,44.009998
2016-04-11,45.700001,46.139999,44.75,44.810001,1039300,44.810001
2016-04-08,45.790001,46.07,44.799999,45.619999,977200,45.619999
2016-04-07,45.66,46.25,44.84,45.43,1005300,45.43
2016-04-06,45.310001,46.200001,44.209999,45.900002,1211300,45.900002
2016-04-05,46.200001,47.049999,45.27,45.290001,1257700,45.290001
2016-04-04,45.740002,47.470001,45.41,46.830002,1487700,46.830002
2016-04-01,45.389999,46.00,44.700001,45.860001,1429700,45.860001
2016-03-31,45.189999,46.029999,44.240002,45.869999,1202400,45.869999
2016-03-30,45.830002,46.439999,44.73,45.360001,1744000,45.360001
2016-03-29,43.75,45.720001,43.43,45.650002,1313300,45.650002
2016-03-28,43.860001,44.830002,43.59,43.93,1832900,43.93
2016-03-24,42.00,43.110001,41.330002,42.900002,1128200,42.900002
2016-03-23,43.849998,44.02,42.080002,42.189999,1393500,42.189999
2016-03-22,43.290001,44.099998,43.049999,43.849998,1536300,43.849998
2016-03-21,44.00,44.400002,43.43,43.619999,1131100,43.619999
2016-03-18,43.25,44.259998,43.029999,44.029999,1818400,44.029999
2016-03-17,43.419998,43.84,42.830002,43.220001,1227800,43.220001
2016-03-16,42.389999,43.84,42.34,43.669998,1491700,43.669998
2016-03-15,43.529999,43.82,42.119999,42.549999,1098200,42.549999
2016-03-14,45.00,45.029999,43.68,43.810001,1137700,43.810001
2016-03-11,43.220001,45.400002,43.099998,44.970001,1176800,44.970001
2016-03-10,43.00,43.860001,42.529999,42.799999,2229600,42.799999
2016-03-09,44.09,44.259998,42.450001,42.68,2095200,42.68
2016-03-08,43.880001,44.950001,43.560001,43.639999,1866200,43.639999
2016-03-07,42.599998,44.779999,42.099998,44.32,2626500,44.32
2016-03-04,43.490002,44.50,42.689999,42.75,4442200,42.75
2016-03-03,44.98,45.119999,42.349998,43.119999,5724000,43.119999
2016-03-02,48.439999,48.849998,44.09,44.189999,4233700,44.189999
2016-03-01,46.41,48.630001,46.049999,48.599998,2832200,48.599998
2016-02-29,44.57,46.32,44.299999,45.650002,1965700,45.650002
2016-02-26,43.91,45.139999,43.009998,44.41,2677200,44.41
2016-02-25,43.330002,44.389999,42.349998,43.060001,1787700,43.060001
2016-02-24,40.50,42.16,39.619999,42.07,1590000,42.07
2016-02-23,42.599998,42.66,40.619999,40.84,1651900,40.84
2016-02-22,43.200001,43.200001,42.009998,42.66,1596400,42.66
2016-02-19,41.00,42.650002,40.509998,42.389999,1488300,42.389999
2016-02-18,41.91,42.400002,40.959999,41.09,1278500,41.09
2016-02-17,40.360001,42.16,40.189999,42.09,3072000,42.09
2016-02-16,40.970001,41.740002,39.779999,40.169998,2423000,40.169998
2016-02-12,40.459999,41.200001,39.07,40.25,1979000,40.25
2016-02-11,39.119999,40.380001,38.52,39.98,1771600,39.98
2016-02-10,40.09,41.080002,38.77,39.860001,3229300,39.860001
2016-02-09,36.599998,40.59,36.599998,39.23,5622700,39.23
2016-02-08,39.130001,40.52,36.860001,37.220001,6918000,37.220001
2016-02-05,44.049999,45.639999,40.040001,41.330002,21218500,41.330002
2016-02-04,79.489998,82.919998,77.730003,81.75,8231700,81.75
2016-02-03,77.919998,79.970001,73.730003,79.610001,1632000,79.610001
2016-02-02,81.010002,81.010002,78.660004,78.830002,1115100,78.830002
2016-02-01,79.940002,81.25,78.639999,80.900002,1011400,80.900002
2016-01-29,77.809998,80.93,77.809998,80.239998,1241300,80.239998
2016-01-28,72.470001,81.589996,71.610001,77.849998,3549000,77.849998
2016-01-27,77.150002,77.230003,73.199997,73.57,2271300,73.57
2016-01-26,78.139999,79.529999,75.580002,77.989998,915700,77.989998
2016-01-25,81.120003,81.82,77.349998,77.75,1197900,77.75
2016-01-22,81.510002,83.400002,81.239998,81.339996,1353100,81.339996
2016-01-21,79.739998,83.260002,78.220001,80.739998,1445700,80.739998
2016-01-20,79.150002,80.099998,74.82,79.410004,2119600,79.410004
2016-01-19,81.730003,82.260002,78.650002,80.889999,1312000,80.889999
2016-01-15,79.00,81.709999,77.150002,81.059998,1464800,81.059998
2016-01-14,82.150002,83.849998,77.330002,82.730003,1563300,82.730003
2016-01-13,87.959999,89.540001,81.120003,82.150002,1825800,82.150002
2016-01-12,88.339996,90.989998,85.580002,88.489998,804500,88.489998
2016-01-11,86.800003,87.660004,85.220001,87.129997,791800,87.129997
2016-01-08,89.059998,90.529999,85.639999,86.43,1120500,86.43
2016-01-07,91.279999,93.139999,88.00,88.57,1249500,88.57
2016-01-06,92.860001,94.720001,92.010002,93.50,853100,93.50
2016-01-05,94.220001,94.629997,93.290001,94.300003,518000,94.300003
2016-01-04,92.709999,93.900002,91.510002,93.790001,669600,93.790001
2015-12-31,94.470001,95.690002,93.910004,94.220001,478400,94.220001
2015-12-30,95.099998,96.550003,94.43,94.75,553000,94.75
2015-12-29,95.519997,96.669998,93.769997,95.089996,565500,95.089996
2015-12-28,94.730003,95.629997,94.330002,95.059998,484100,95.059998
2015-12-24,94.870003,95.769997,94.800003,95.480003,281000,95.480003
2015-12-23,93.330002,95.529999,93.330002,95.169998,818200,95.169998
2015-12-22,89.830002,94.129997,89.730003,93.199997,1259600,93.199997
2015-12-21,89.489998,89.489998,87.839996,89.059998,569300,89.059998
2015-12-18,90.169998,90.459999,88.209999,88.669998,940300,88.669998
2015-12-17,92.370003,93.139999,90.150002,90.209999,654900,90.209999
2015-12-16,90.449997,92.489998,89.449997,92.199997,757800,92.199997
2015-12-15,88.559998,90.290001,88.349998,89.449997,646700,89.449997
2015-12-14,88.230003,89.779999,86.82,88.239998,551900,88.239998
2015-12-11,90.790001,91.790001,87.879997,88.230003,958700,88.230003
2015-12-10,91.489998,94.199997,90.860001,92.43,838400,92.43
2015-12-09,93.50,93.93,90.879997,91.25,602400,91.25
2015-12-08,91.440002,94.029999,91.199997,93.629997,834300,93.629997
2015-12-07,93.25,94.110001,92.18,92.57,664800,92.57
2015-12-04,92.68,94.199997,91.790001,94.099998,753500,94.099998
2015-12-03,95.239998,95.580002,91.050003,92.449997,1218100,92.449997
2015-12-02,97.50,97.809998,94.519997,94.989998,828100,94.989998
2015-12-01,97.400002,98.150002,96.25,97.610001,733000,97.610001
2015-11-30,97.639999,98.00,95.800003,97.029999,799900,97.029999
2015-11-27,96.639999,98.68,96.639999,97.669998,596600,97.669998
2015-11-25,95.00,97.480003,94.529999,96.959999,993100,96.959999
2015-11-24,93.800003,95.43,93.040001,95.019997,1080500,95.019997
2015-11-23,93.540001,95.959999,92.830002,94.730003,877200,94.730003
2015-11-20,94.25,94.839996,92.650002,93.589996,618400,93.589996
2015-11-19,95.019997,95.690002,93.440002,93.870003,695500,93.870003
2015-11-18,93.93,95.470001,93.50,95.089996,773400,95.089996
2015-11-17,93.00,94.470001,92.529999,93.739998,1079100,93.739998
2015-11-16,93.129997,94.410004,90.589996,92.519997,1314300,92.519997
2015-11-13,94.669998,95.529999,93.050003,93.580002,747100,93.580002
2015-11-12,95.510002,98.50,95.019997,95.099998,1081300,95.099998
2015-11-11,96.269997,96.93,94.330002,96.75,1490600,96.75
2015-11-10,96.550003,97.889999,95.25,96.290001,1652200,96.290001
2015-11-09,101.809998,102.440002,97.839996,100.050003,2010900,100.050003
2015-11-06,98.709999,104.919998,98.00,102.440002,4767400,102.440002
2015-11-05,86.290001,87.220001,83.550003,84.389999,2553700,84.389999
2015-11-04,86.480003,88.230003,85.860001,87.809998,1354400,87.809998
2015-11-03,86.07,86.910004,85.209999,85.93,854200,85.93
2015-11-02,84.419998,86.910004,83.610001,86.190002,989600,86.190002
2015-10-30,82.339996,84.190002,81.779999,83.959999,926300,83.959999
2015-10-29,84.099998,84.279999,81.50,81.720001,717300,81.720001
2015-10-28,81.050003,84.870003,80.139999,83.940002,1450800,83.940002
2015-10-27,82.290001,82.300003,80.50,80.959999,1348200,80.959999
2015-10-26,83.769997,84.080002,81.160004,82.529999,1005100,82.529999
2015-10-23,83.32,85.68,83.00,83.699997,1741400,83.699997
2015-10-22,83.150002,85.800003,82.900002,83.82,1381600,83.82
2015-10-21,87.519997,87.519997,82.07,82.25,1319300,82.25
2015-10-20,85.389999,87.639999,85.00,86.809998,1255800,86.809998
2015-10-19,85.00,89.059998,84.559998,85.519997,1427900,85.519997
2015-10-16,83.360001,85.089996,82.309998,85.050003,999400,85.050003
2015-10-15,82.07,83.00,80.309998,82.949997,975100,82.949997
2015-10-14,84.050003,84.610001,81.040001,81.769997,1030600,81.769997
2015-10-13,83.940002,85.970001,82.699997,84.239998,1696400,84.239998
2015-10-12,83.050003,84.800003,82.080002,84.459999,1395100,84.459999
2015-10-09,79.860001,83.300003,78.279999,83.00,1297700,83.00
2015-10-08,82.900002,83.00,79.220001,79.559998,1221900,79.559998
2015-10-07,81.400002,83.410004,80.150002,83.089996,992700,83.089996
2015-10-06,82.709999,83.529999,79.410004,80.93,1190500,80.93
2015-10-05,84.300003,85.150002,82.660004,83.190002,1302900,83.190002
2015-10-02,80.480003,84.389999,79.160004,84.309998,1294600,84.309998
2015-10-01,79.360001,82.370003,78.68,82.199997,1527300,82.199997
2015-09-30,78.620003,80.239998,77.029999,79.779999,1296900,79.779999
2015-09-29,79.220001,80.43,76.010002,77.580002,1629600,77.580002
2015-09-28,82.629997,83.25,78.589996,79.25,1551200,79.25
2015-09-25,86.489998,87.00,82.129997,82.989998,813700,82.989998
2015-09-24,84.110001,85.980003,82.830002,85.589996,1387000,85.589996
2015-09-23,84.00,85.019997,82.910004,84.559998,1138900,84.559998
2015-09-22,86.00,87.089996,83.089996,83.50,1516200,83.50
2015-09-21,85.25,87.50,85.00,86.480003,2446300,86.480003
2015-09-18,84.110001,84.940002,81.50,84.68,4365100,84.68
2015-09-17,91.510002,91.660004,84.419998,84.809998,7520200,84.809998
2015-09-16,93.019997,93.330002,90.129997,91.519997,1829100,91.519997
2015-09-15,94.190002,94.379997,92.43,93.010002,1195600,93.010002
2015-09-14,94.099998,94.519997,92.779999,94.389999,653100,94.389999
2015-09-11,93.410004,94.739998,93.110001,93.800003,711700,93.800003
2015-09-10,92.699997,94.75,91.639999,93.650002,1001400,93.650002
2015-09-09,96.410004,97.349998,93.169998,93.419998,748700,93.419998
2015-09-08,95.540001,96.699997,93.07,95.660004,1489200,95.660004
2015-09-04,93.699997,95.800003,93.629997,94.68,588100,94.68
2015-09-03,95.949997,97.00,93.860001,95.080002,723200,95.080002
2015-09-02,92.720001,95.639999,92.019997,95.50,1074600,95.50
2015-09-01,92.410004,93.860001,91.360001,91.720001,1453400,91.720001
2015-08-31,97.150002,98.57,94.050003,94.169998,2533900,94.169998
2015-08-28,97.099998,98.190002,95.830002,97.160004,1044200,97.160004
2015-08-27,98.230003,99.400002,95.050003,97.330002,1228500,97.330002
2015-08-26,97.059998,97.550003,92.559998,96.360001,2028600,96.360001
2015-08-25,98.480003,100.870003,94.620003,94.870003,1656200,94.870003
