Date,Open,High,Low,Close,Volume,Adj Close
2016-04-29,10.65,10.65,9.77,9.93,29627600,9.93
2016-04-28,9.45,9.65,9.38,9.44,13457000,9.44
2016-04-27,9.35,9.61,9.29,9.45,8550200,9.45
2016-04-26,9.38,9.55,9.23,9.38,5899000,9.38
2016-04-25,9.33,9.52,9.20,9.37,9058800,9.37
2016-04-22,9.14,9.45,9.09,9.33,6011600,9.33
2016-04-21,8.99,9.30,8.99,9.18,9045100,9.18
2016-04-20,8.79,9.04,8.62,8.97,5191800,8.97
2016-04-19,8.63,9.09,8.63,8.80,5507700,8.80
2016-04-18,8.54,8.82,8.40,8.80,4521000,8.80
2016-04-15,8.94,9.08,8.60,8.62,6098600,8.62
2016-04-14,8.91,9.01,8.78,8.96,7389000,8.96
2016-04-13,8.66,9.11,8.58,8.92,6691300,8.92
2016-04-12,8.51,8.63,8.14,8.63,9595200,8.63
2016-04-11,8.30,8.31,8.14,8.17,4225000,8.17
2016-04-08,8.58,8.58,8.05,8.25,9347400,8.25
2016-04-07,8.73,8.81,8.38,8.53,6634200,8.53
2016-04-06,8.95,9.10,8.75,8.85,7595400,8.85
2016-04-05,9.14,9.17,8.89,8.98,7598500,8.98
2016-04-04,8.92,9.31,8.88,9.22,6953600,9.22
2016-04-01,8.90,9.02,8.66,8.98,11842400,8.98
2016-03-31,9.51,9.60,8.93,8.95,18217300,8.95
2016-03-30,9.67,9.85,9.32,9.50,15239700,9.50
2016-03-29,9.59,9.70,9.07,9.64,15844600,9.64
2016-03-28,10.06,10.26,9.54,9.60,25170800,9.60
2016-03-24,9.92,11.08,9.80,10.93,15664500,10.93
2016-03-23,10.19,10.20,9.78,9.88,6509900,9.88
2016-03-22,10.28,10.29,10.05,10.18,3286700,10.18
2016-03-21,10.16,10.34,10.13,10.31,3299200,10.31
2016-03-18,10.34,10.55,10.11,10.14,4519800,10.14
2016-03-17,9.85,10.49,9.85,10.36,4791000,10.36
2016-03-16,9.77,9.90,9.60,9.85,5052200,9.85
2016-03-15,10.27,10.27,9.71,9.83,6305600,9.83
2016-03-14,9.98,10.49,9.78,10.30,5914600,10.30
2016-03-11,9.86,10.01,9.54,9.98,6384200,9.98
2016-03-10,10.25,10.31,9.61,9.68,6720700,9.68
2016-03-09,10.41,10.44,9.92,10.19,7105700,10.19
2016-03-08,11.11,11.18,10.31,10.42,7571700,10.42
2016-03-07,10.85,11.50,10.83,11.14,6797000,11.14
2016-03-04,10.95,11.35,10.79,10.85,7521300,10.85
2016-03-03,10.58,11.17,10.58,10.88,5867500,10.88
2016-03-02,10.26,10.72,10.12,10.62,5045700,10.62
2016-03-01,10.27,10.45,9.96,10.26,9370600,10.26
2016-02-29,10.05,10.41,9.94,10.22,6177800,10.22
2016-02-26,10.36,10.43,10.14,10.17,6398400,10.17
2016-02-25,10.12,10.52,9.89,10.36,6001700,10.36
2016-02-24,9.32,10.24,9.06,10.14,9287500,10.14
2016-02-23,9.71,9.82,9.21,9.48,5665600,9.48
2016-02-22,9.18,9.99,9.15,9.77,10237800,9.77
2016-02-19,8.66,9.26,8.55,9.11,8471900,9.11
2016-02-18,8.89,8.91,8.44,8.75,5349200,8.75
2016-02-17,7.85,8.90,7.85,8.82,13161600,8.82
2016-02-16,8.07,8.15,7.65,7.91,11780500,7.91
2016-02-12,9.38,9.38,7.10,8.00,39698600,8.00
2016-02-11,8.10,9.64,7.73,9.09,30126400,9.09
2016-02-10,7.60,8.49,7.37,8.40,10282900,8.40
2016-02-09,7.74,8.29,7.72,7.97,8611200,7.97
2016-02-08,8.32,8.32,7.75,7.88,8590500,7.88
2016-02-05,9.42,9.44,8.55,8.57,6235600,8.57
2016-02-04,9.06,9.59,8.96,9.53,6759300,9.53
2016-02-03,9.45,9.49,8.90,9.10,8596700,9.10
2016-02-02,9.51,9.60,9.12,9.40,6180000,9.40
2016-02-01,9.64,9.73,9.56,9.69,5432100,9.69
2016-01-29,9.58,9.81,9.46,9.72,5948600,9.72
2016-01-28,9.59,9.65,9.22,9.58,6577700,9.58
2016-01-27,9.53,9.95,9.45,9.55,7133800,9.55
2016-01-26,9.56,9.67,9.21,9.65,5217700,9.65
2016-01-25,9.67,9.90,9.53,9.60,5486100,9.60
2016-01-22,9.66,9.76,9.43,9.73,12646300,9.73
2016-01-21,9.45,9.70,9.20,9.47,5364100,9.47
2016-01-20,9.24,9.60,8.92,9.46,10082900,9.46
2016-01-19,10.00,10.00,9.24,9.45,7157800,9.45
2016-01-15,9.59,9.65,9.09,9.45,9691000,9.45
2016-01-14,10.00,10.09,9.39,9.90,7909500,9.90
2016-01-13,10.34,10.39,9.57,10.00,12799500,10.00
2016-01-12,10.86,10.97,10.00,10.26,8390600,10.26
2016-01-11,10.78,10.91,10.56,10.80,7063700,10.80
2016-01-08,11.05,11.41,10.68,10.74,7370100,10.74
2016-01-07,10.94,11.87,10.76,10.93,11947800,10.93
2016-01-06,11.41,11.50,11.01,11.21,10206200,11.21
2016-01-05,12.28,12.30,11.51,11.56,13222200,11.56
2016-01-04,12.70,12.93,12.20,12.25,17284000,12.25
2015-12-31,13.33,13.57,13.06,13.41,5703100,13.41
2015-12-30,13.67,13.86,13.33,13.36,3906500,13.36
2015-12-29,13.66,13.81,13.29,13.71,6658000,13.71
2015-12-28,13.95,14.06,13.46,13.54,5443300,13.54
2015-12-24,14.14,14.27,13.86,13.92,2793700,13.92
2015-12-23,14.22,14.50,13.84,14.20,18643200,14.20
2015-12-22,14.23,14.48,14.04,14.19,5866100,14.19
2015-12-21,14.30,14.58,14.00,14.21,7885800,14.21
2015-12-18,15.12,15.25,14.03,14.12,21037200,14.12
