Date,Open,High,Low,Close,Volume,Adj Close
2016-04-29,39.709999,39.869999,38.59,39.18,9926100,39.18
2016-04-28,41.00,41.490002,39.91,40.07,17782200,40.07
2016-04-27,39.68,40.18,39.200001,40.009998,12350700,40.009998
2016-04-26,39.57,40.130001,39.330002,39.73,5262700,39.73
2016-04-25,40.27,40.84,39.540001,39.82,7934200,39.82
2016-04-22,39.720001,40.634998,39.68,40.310001,6433900,40.310001
2016-04-21,40.200001,40.549999,40.014,40.099998,5539400,40.099998
2016-04-20,39.240002,40.240002,39.169998,40.080002,7723500,40.080002
2016-04-19,39.75,40.07,38.974998,39.240002,5915800,39.240002
2016-04-18,38.560001,39.689999,38.43,39.639999,6433000,39.639999
2016-04-15,38.689999,38.950001,38.290001,38.580002,5239600,38.580002
2016-04-14,38.939999,39.02,38.415001,38.639999,4590200,38.639999
2016-04-13,38.25,39.119999,38.189999,38.790001,7082400,38.790001
2016-04-12,38.32,38.32,37.34,37.799999,7677100,37.799999
2016-04-11,38.330002,38.82,38.029999,38.060001,5428900,38.060001
2016-04-08,38.610001,38.699001,38.099998,38.41,7822300,38.41
2016-04-07,38.849998,38.939999,38.119999,38.279999,7294500,38.279999
2016-04-06,38.450001,39.185001,38.25,39.16,5526200,39.16
2016-04-05,38.349998,38.810001,37.700001,38.549999,5364800,38.549999
2016-04-04,39.360001,39.380001,38.41,38.790001,5381300,38.790001
2016-04-01,38.509998,39.459999,38.400002,39.400002,6982000,39.400002
2016-03-31,38.740002,39.00,38.43,38.599998,8087000,38.599998
2016-03-30,39.939999,40.040001,38.994999,39.040001,5246800,39.040001
2016-03-29,38.740002,39.715,38.299999,39.529999,5694000,39.529999
2016-03-28,38.810001,39.169998,38.619999,38.740002,6192900,38.740002
2016-03-24,39.400002,39.509998,37.00,38.919998,15040600,38.919998
2016-03-23,41.060001,41.310001,40.040001,40.52,8104700,40.52
2016-03-22,40.669998,41.75,40.630001,41.32,10552300,41.32
2016-03-21,39.41,41.169998,39.200001,41.139999,13432400,41.139999
2016-03-18,39.860001,39.860001,38.689999,39.41,15132400,39.41
2016-03-17,39.849998,40.119999,39.169998,39.93,9789600,39.93
2016-03-16,39.09,39.889999,38.57,39.84,6363500,39.84
2016-03-15,39.049999,39.639999,39.049999,39.27,5013900,39.27
2016-03-14,39.400002,39.799999,39.040001,39.380001,5299700,39.380001
2016-03-11,39.00,39.529999,38.849998,39.490002,9539500,39.490002
2016-03-10,38.66,39.299999,37.48,38.490002,7655700,38.490002
2016-03-09,38.48,38.619999,37.82,38.57,4990500,38.57
2016-03-08,38.689999,38.880001,38.110001,38.16,6012700,38.16
2016-03-07,38.779999,39.400002,38.720001,38.98,5327200,38.98
2016-03-04,38.77,39.700001,38.755001,39.040001,7200100,39.040001
2016-03-03,38.959999,39.240002,38.629002,39.02,7656900,39.02
2016-03-02,39.200001,39.93,38.700001,39.16,12895900,39.16
2016-03-01,38.52,39.544998,38.02,39.25,14085300,39.25
2016-02-29,37.470001,38.93,37.450001,38.139999,23939900,38.139999
2016-02-26,36.73,37.535,36.369999,37.490002,8595000,37.490002
2016-02-25,36.669998,36.830002,36.18,36.740002,5209500,36.740002
2016-02-24,35.220001,36.75,34.860001,36.470001,8090600,36.470001
2016-02-23,35.720001,35.935001,35.02,35.48,8415200,35.48
2016-02-22,36.450001,36.50,35.82,36.00,10476200,36.00
2016-02-19,36.00,36.235001,35.610001,35.759998,9652800,35.759998
2016-02-18,36.41,36.529999,35.66,36.310001,9022100,36.310001
2016-02-17,35.98,36.91,35.810001,36.360001,12070600,36.360001
2016-02-16,34.650002,35.52,34.48,35.459999,9152400,35.459999
2016-02-12,33.970001,34.439999,33.810001,34.299999,9437100,34.299999
2016-02-11,32.119999,33.639999,32.009998,33.52,13170100,33.52
2016-02-10,33.619999,33.939999,32.82,32.900002,8636500,32.900002
2016-02-09,32.799999,33.858002,31.639999,32.700001,16439200,32.700001
2016-02-08,34.00,34.290001,31.98,33.610001,20629000,33.610001
2016-02-05,37.16,37.16,34.82,35.07,16245800,35.07
2016-02-04,36.66,37.285,36.540001,37.169998,10212300,37.169998
2016-02-03,36.869999,37.549999,36.07,37.009998,14543100,37.009998
2016-02-02,36.529999,37.77,36.439999,36.830002,17310600,36.830002
2016-02-01,35.650002,37.32,35.59,37.080002,17356000,37.080002
2016-01-29,34.490002,36.259998,34.360001,36.139999,21201100,36.139999
2016-01-28,33.630001,34.75,33.349998,34.240002,20378600,34.240002
2016-01-27,31.959999,32.630001,31.379999,31.59,12711700,31.59
2016-01-26,31.49,31.98,31.389999,31.969999,8617000,31.969999
2016-01-25,31.98,31.98,31.35,31.469999,7591800,31.469999
2016-01-22,31.65,31.969999,31.540001,31.690001,9444000,31.690001
2016-01-21,31.610001,31.74,30.90,31.200001,9978900,31.200001
2016-01-20,31.43,31.700001,30.52,31.200001,13170600,31.200001
2016-01-19,32.759998,33.18,31.93,32.200001,6674700,32.200001
2016-01-15,31.620001,32.540001,31.620001,32.310001,12174400,32.310001
2016-01-14,32.150002,33.040001,31.705,32.869999,7749500,32.869999
2016-01-13,33.279999,33.57,31.969999,32.119999,8069400,32.119999
2016-01-12,33.349998,33.57,32.66,33.080002,7854000,33.080002
2016-01-11,33.02,33.43,32.470001,33.040001,8937400,33.040001
2016-01-08,33.459999,33.880001,32.630001,32.689999,7848800,32.689999
2016-01-07,33.150002,34.160999,33.02,33.130001,11041100,33.130001
2016-01-06,33.700001,34.009998,33.209999,33.98,8441300,33.98
2016-01-05,34.98,34.98,33.860001,34.310001,11227700,34.310001
2016-01-04,35.130001,35.560001,34.279999,34.75,12287700,34.75
2015-12-31,36.299999,36.50,36.050999,36.200001,4481900,36.200001
2015-12-30,37.07,37.25,36.459999,36.48,4106700,36.48
2015-12-29,36.919998,37.450001,36.75,37.080002,3436600,37.080002
2015-12-28,36.700001,37.00,36.25,36.610001,4930100,36.610001
2015-12-24,37.009998,37.23,36.82,37.07,2133400,37.07
2015-12-23,36.790001,37.68,36.77,37.110001,7579500,37.110001
2015-12-22,36.119999,36.889999,35.779999,36.805,6030900,36.805
2015-12-21,35.209999,36.150002,35.110001,36.080002,5856000,36.080002
2015-12-18,35.349998,35.759998,34.73,34.98,13745900,34.98
2015-12-17,36.00,36.580002,35.509998,35.540001,6454100,35.540001
2015-12-16,36.119999,36.25,35.189999,35.98,7076300,35.98
2015-12-15,35.189999,36.509998,35.18,36.32,11709900,36.32
2015-12-14,34.610001,35.223,34.330002,35.009998,5784400,35.009998
2015-12-11,35.150002,35.326,34.419998,34.689999,8309200,34.689999
2015-12-10,35.16,35.91,35.16,35.490002,6949700,35.490002
2015-12-09,35.389999,35.599998,34.830002,35.07,7381700,35.07
2015-12-08,34.630001,35.700001,34.52,35.599998,7420800,35.599998
2015-12-07,35.709999,35.799999,34.849998,35.16,4918000,35.16
2015-12-04,34.380001,35.82,34.220001,35.619999,10664300,35.619999
2015-12-03,35.200001,35.23,33.849998,34.23,7311900,34.23
2015-12-02,35.23,36.169998,34.93,35.150002,5762400,35.150002
2015-12-01,35.41,35.41,33.849998,35.169998,14893900,35.169998
2015-11-30,35.360001,35.439999,34.689999,35.259998,9357300,35.259998
2015-11-27,35.52,35.700001,35.060001,35.18,2549400,35.18
2015-11-25,35.200001,35.860001,35.130001,35.360001,3881800,35.360001
2015-11-24,35.25,35.299999,34.880001,35.119999,8390100,35.119999
2015-11-23,36.50,36.650002,35.41,35.560001,6961000,35.560001
2015-11-20,36.450001,36.450001,35.919998,36.360001,4543400,36.360001
2015-11-19,36.450001,36.50,35.91,36.189999,5041300,36.189999
2015-11-18,36.32,36.950001,35.785,36.220001,8323100,36.220001
2015-11-17,35.889999,36.450001,35.709999,36.209999,7344900,36.209999
2015-11-16,34.549999,35.66,34.529999,35.610001,6734500,35.610001
2015-11-13,35.18,35.50,34.50,34.529999,7364400,34.529999
2015-11-12,35.945,36.049999,34.830002,35.57,11835900,35.57
2015-11-11,37.189999,37.32,35.75,36.330002,12762500,36.330002
2015-11-10,36.580002,37.200001,36.50,37.00,36384400,37.00
2015-11-09,36.099998,36.740002,35.650002,36.599998,11571500,36.599998
2015-11-06,36.59,36.700001,35.799999,36.240002,10256800,36.240002
2015-11-05,37.82,37.98,36.66,36.709999,9068900,36.709999
2015-11-04,38.450001,38.52,37.330002,37.599998,12226800,37.599998
2015-11-03,37.049999,38.439999,37.00,37.900002,12025200,37.900002
2015-11-02,35.580002,37.41,35.450001,36.990002,11254900,36.990002
2015-10-30,35.639999,36.490002,35.240002,36.009998,13409200,36.009998
2015-10-29,34.73,36.50,34.50,35.91,25137300,35.91
2015-10-28,36.209999,36.650002,35.810001,36.52,11634300,36.52
2015-10-27,36.389999,36.394001,35.310001,35.939999,8502400,35.939999
2015-10-26,36.049999,36.59,35.514999,36.439999,11554600,36.439999
2015-10-23,35.73,35.75,34.799999,34.990002,8909100,34.990002
2015-10-22,34.43,35.25,34.259998,34.790001,8735500,34.790001
2015-10-21,34.75,34.799999,32.880001,33.830002,9054500,33.830002
2015-10-20,34.799999,34.990002,34.59,34.869999,6084200,34.869999
2015-10-19,34.43,34.904999,33.790001,34.84,5855700,34.84
2015-10-16,34.75,35.049999,33.950001,34.290001,5390700,34.290001
2015-10-15,34.450001,34.720001,34.16,34.619999,9103200,34.619999
2015-10-14,33.400002,34.459999,33.400002,34.049999,8198300,34.049999
2015-10-13,32.599998,33.48,32.34,33.220001,8787700,33.220001
2015-10-12,32.189999,32.669998,32.099998,32.630001,3915500,32.630001
2015-10-09,31.690001,32.450001,31.41,32.060001,5911400,32.060001
2015-10-08,32.439999,32.450001,31.09,31.67,9281500,31.67
2015-10-07,32.310001,32.471001,31.52,32.380001,6969600,32.380001
2015-10-06,32.91,32.91,31.780001,31.860001,7409800,31.860001
2015-10-05,32.950001,33.02,32.380001,32.669998,6119100,32.669998
2015-10-02,30.82,32.860001,30.75,32.830002,7609800,32.830002
2015-10-01,30.82,31.587,30.75,31.48,9657000,31.48
2015-09-30,31.200001,31.280001,30.639999,31.040001,13672000,31.040001
2015-09-29,32.27,32.669998,30.299999,30.629999,12008100,30.629999
2015-09-28,33.68,33.68,32.154999,32.25,7407300,32.25
2015-09-25,34.599998,34.689999,33.50,33.77,6566800,33.77
2015-09-24,34.00,34.07,33.380001,33.91,6544500,33.91
2015-09-23,33.490002,34.34,33.259998,34.16,5405500,34.16
2015-09-22,33.939999,34.099998,33.189999,33.349998,8538000,33.349998
2015-09-21,33.66,34.619999,33.43,34.25,12736500,34.25
2015-09-18,32.900002,33.779999,32.549999,32.919998,16488100,32.919998
2015-09-17,33.720001,33.990002,33.080002,33.32,7846800,33.32
2015-09-16,33.459999,34.060001,33.360001,33.77,7183900,33.77
2015-09-15,33.720001,33.950001,32.669998,33.799999,11874900,33.799999
2015-09-14,33.700001,33.950001,33.200001,33.77,7897700,33.77
2015-09-11,33.27,33.59,32.610001,33.549999,9184200,33.549999
2015-09-10,34.23,34.290001,32.950001,33.459999,12134500,33.459999
2015-09-09,34.919998,34.950001,33.880001,34.369999,10946900,34.369999
2015-09-08,34.810001,34.889999,34.25,34.700001,7674500,34.700001
2015-09-04,34.709999,34.720001,33.779999,34.290001,7483100,34.290001
2015-09-03,35.009998,35.459999,34.77,35.310001,6683800,35.310001
2015-09-02,34.599998,35.080002,33.834999,35.07,7521000,35.07
2015-09-01,34.150002,34.68,33.41,33.77,13376000,33.77
2015-08-31,35.50,35.509998,34.77,35.00,12123800,35.00
2015-08-28,34.509998,35.259998,34.369999,35.040001,8344800,35.040001
2015-08-27,33.869999,34.77,33.16,34.619999,18909600,34.619999
2015-08-26,33.700001,33.84,31.709999,33.169998,25350400,33.169998
2015-08-25,35.439999,35.459999,32.700001,32.700001,15557100,32.700001
2015-08-24,31.17,34.849998,30.00,33.75,19676600,33.75
2015-08-21,35.57,36.110001,33.830002,34.25,16824100,34.25
2015-08-20,36.849998,37.34,35.880001,35.98,10645700,35.98
2015-08-19,37.869999,38.099998,37.029999,37.189999,6923400,37.189999
2015-08-18,39.00,39.00,37.869999,37.990002,4678800,37.990002
2015-08-17,38.299999,38.75,37.700001,38.73,4931700,38.73
2015-08-14,37.490002,38.18,37.380001,38.139999,6271100,38.139999
2015-08-13,38.400002,38.490002,37.439999,37.619999,7863500,37.619999
2015-08-12,38.549999,38.580002,37.009998,38.189999,21350600,38.189999
2015-08-11,38.93,39.279999,38.720001,38.849998,8184000,38.849998
2015-08-10,39.43,39.689999,38.77,39.049999,7998900,39.049999
2015-08-07,39.040001,39.23,38.599998,39.130001,8331300,39.130001
2015-08-06,39.630001,39.740002,38.549999,38.849998,7324100,38.849998
2015-08-05,39.700001,39.880001,39.169998,39.27,9463100,39.27
2015-08-04,39.91,39.91,38.43,38.950001,10992200,38.950001
2015-08-03,39.25,39.880001,38.900002,39.389999,15126600,39.389999
2015-07-31,39.139999,39.200001,38.220001,38.700001,12480600,38.700001
2015-07-30,38.040001,39.009998,37.715,38.450001,13845100,38.450001
2015-07-29,38.029999,38.099998,37.619999,37.950001,11788400,37.950001
2015-07-28,37.189999,38.00,36.830002,37.599998,18986000,37.599998
2015-07-27,36.779999,37.380001,36.220001,36.389999,16179900,36.389999
2015-07-24,37.709999,38.00,36.91,37.00,14274300,37.00
2015-07-23,38.740002,38.75,36.93,37.009998,19250200,37.009998
2015-07-22,39.349998,39.720001,38.099998,38.389999,25363900,38.389999
2015-07-21,41.080002,41.110001,39.119999,39.349998,32954600,39.349998
2015-07-20,41.459999,42.549999,39.799999,40.470001,52286500,40.470001
2015-07-17,39.419998,40.200001,38.18,38.389999,45720200,38.389999
2015-07-16,38.82,39.970001,38.080002,38.630001,21348500,38.630001
2015-07-15,37.98,38.200001,37.029999,37.509998,13072800,37.509998
2015-07-14,36.990002,37.740002,36.599998,36.93,4653300,36.93
2015-07-13,35.59,37.50,35.50,36.779999,7626000,36.779999
2015-07-10,34.66,35.189999,33.98,34.689999,4472800,34.689999
2015-07-09,35.099998,35.52,33.990002,34.50,3760100,34.50
2015-07-08,36.34,36.360001,34.529999,34.700001,5387700,34.700001
2015-07-07,37.720001,37.810001,36.00,36.619999,7359000,36.619999
2015-07-06,38.00,39.75,36.00,36.709999,5866600,36.709999
