Date,Open,High,Low,Close,Volume,Adj Close
2016-04-29,15.42,15.50,14.52,14.89,1818900,14.89
2016-04-28,14.69,15.67,14.52,15.35,3012300,15.35
2016-04-27,14.00,14.85,14.00,14.69,1623100,14.69
2016-04-26,13.63,14.288,13.60,14.18,1697800,14.18
2016-04-25,13.55,14.23,13.41,13.59,1954400,13.59
2016-04-22,13.20,13.79,13.19,13.34,1585700,13.34
2016-04-21,13.68,13.83,13.00,13.24,2082700,13.24
2016-04-20,14.00,14.35,13.37,13.63,4209600,13.63
2016-04-19,14.59,14.74,13.63,14.09,2535900,14.09
2016-04-18,14.20,14.71,14.13,14.51,1384700,14.51
2016-04-15,14.85,14.87,14.18,14.33,2404200,14.33
2016-04-14,15.10,15.25,14.60,14.82,1752400,14.82
2016-04-13,15.52,15.68,14.784,15.01,2646500,15.01
2016-04-12,15.55,15.81,15.05,15.48,2358800,15.48
2016-04-11,15.15,15.87,15.13,15.36,3104200,15.36
2016-04-08,15.01,15.50,14.75,15.13,1867300,15.13
2016-04-07,15.00,15.29,14.51,14.81,1759400,14.81
2016-04-06,14.39,15.289,14.275,14.97,3038700,14.97
2016-04-05,14.06,14.63,13.85,14.26,1881200,14.26
2016-04-04,14.28,14.40,13.74,14.28,2242600,14.28
2016-04-01,15.23,15.76,14.032,14.22,4771900,14.22
2016-03-31,14.75,15.91,14.37,15.28,5614700,15.28
2016-03-30,14.03,15.133,13.80,15.02,5102700,15.02
2016-03-29,13.38,14.18,13.15,13.74,3598600,13.74
2016-03-28,13.11,13.73,12.771,13.40,3365400,13.40
2016-03-24,12.35,12.99,12.301,12.88,1762500,12.88
2016-03-23,13.19,13.80,12.06,12.59,5388500,12.59
2016-03-22,13.25,13.43,12.95,13.06,2739000,13.06
2016-03-21,12.05,13.48,12.05,13.40,5091600,13.40
2016-03-18,12.00,12.09,11.75,12.04,3160800,12.04
2016-03-17,11.83,12.05,11.75,11.95,1305400,11.95
2016-03-16,11.95,12.06,11.726,11.87,976000,11.87
2016-03-15,11.63,12.00,11.25,11.95,1762900,11.95
2016-03-14,11.14,11.83,11.01,11.61,3544100,11.61
2016-03-11,11.39,11.48,11.01,11.10,2334400,11.10
