Date,Open,High,Low,Close,Volume,Adj Close
2016-05-03,12.69,12.94,12.39,12.50,467200,12.50
2016-05-02,13.10,13.16,12.67,12.91,877600,12.91
2016-04-29,13.04,13.22,12.87,12.93,836300,12.93
2016-04-28,13.02,13.34,13.00,13.04,644400,13.04
2016-04-27,13.03,13.10,12.90,13.05,754200,13.05
2016-04-26,13.22,13.41,13.03,13.06,659000,13.06
2016-04-25,13.20,13.482,13.185,13.19,605500,13.19
2016-04-22,13.00,13.45,12.82,13.37,968900,13.37
2016-04-21,12.87,13.04,12.83,13.00,1019900,13.00
2016-04-20,12.96,12.98,12.72,12.79,464600,12.79
2016-04-19,12.72,13.00,12.61,12.92,912200,12.92
2016-04-18,12.40,13.00,12.387,12.72,893900,12.72
2016-04-15,12.28,12.66,12.27,12.52,837500,12.52
2016-04-14,12.32,12.68,12.26,12.53,762900,12.53
2016-04-13,12.13,12.35,12.065,12.31,848400,12.31
2016-04-12,12.21,12.23,11.82,12.06,1203500,12.06
2016-04-11,12.11,12.27,12.00,12.02,600500,12.02
2016-04-08,12.20,12.345,11.97,12.04,848200,12.04
2016-04-07,12.37,12.46,11.92,12.15,1909100,12.15
2016-04-06,12.25,12.70,12.22,12.48,853400,12.48
2016-04-05,12.39,12.499,12.138,12.22,680800,12.22
2016-04-04,12.40,12.78,12.40,12.51,665200,12.51
2016-04-01,12.31,12.60,12.071,12.35,833700,12.35
2016-03-31,12.52,12.592,12.20,12.26,594200,12.26
2016-03-30,12.60,12.80,12.437,12.52,969400,12.52
2016-03-29,12.33,12.64,12.04,12.50,1210200,12.50
2016-03-28,12.20,12.38,12.00,12.33,686900,12.33
2016-03-24,11.96,12.22,11.87,12.18,457800,12.18
2016-03-23,12.55,12.71,12.03,12.04,539200,12.04
2016-03-22,12.48,12.72,12.435,12.54,357000,12.54
2016-03-21,12.46,12.79,12.437,12.65,657800,12.65
2016-03-18,12.12,12.898,12.12,12.73,1882200,12.73
2016-03-17,12.30,12.40,12.16,12.24,664300,12.24
2016-03-16,12.15,12.35,11.93,12.27,1186900,12.27
2016-03-15,12.01,12.27,11.77,12.27,1058500,12.27
2016-03-14,12.24,12.30,11.75,12.17,1561400,12.17
2016-03-11,12.94,12.98,12.048,12.16,2607000,12.16
2016-03-10,14.16,14.40,11.92,12.73,9644000,12.73
2016-03-09,12.20,13.21,11.66,12.52,2433400,12.52
2016-03-08,12.34,12.86,11.951,12.07,679700,12.07
2016-03-07,12.39,12.615,12.24,12.55,529000,12.55
2016-03-04,12.60,12.79,12.20,12.39,552600,12.39
2016-03-03,12.38,12.65,12.347,12.46,582500,12.46
2016-03-02,11.56,12.48,11.56,12.29,1590900,12.29
2016-03-01,11.63,11.68,11.37,11.55,482100,11.55
2016-02-29,11.88,12.03,11.45,11.51,529900,11.51
2016-02-26,12.06,12.30,11.88,11.89,577200,11.89
2016-02-25,11.70,12.196,11.66,11.96,681000,11.96
2016-02-24,10.85,11.89,10.68,11.85,734500,11.85
2016-02-23,11.19,11.28,10.91,11.14,403500,11.14
2016-02-22,10.80,11.35,10.75,11.21,557800,11.21
2016-02-19,10.45,10.85,10.31,10.71,452700,10.71
2016-02-18,10.61,10.70,10.18,10.46,864300,10.46
2016-02-17,10.28,10.82,10.23,10.63,1124400,10.63
2016-02-16,10.33,10.33,9.82,10.14,468600,10.14
2016-02-12,9.28,10.00,9.23,9.90,726900,9.90
2016-02-11,9.30,9.68,9.06,9.12,1025900,9.12
2016-02-10,9.26,9.75,8.98,9.50,832500,9.50
2016-02-09,9.01,9.58,8.96,9.21,968200,9.21
2016-02-08,10.20,10.20,9.01,9.22,1255700,9.22
2016-02-05,11.08,11.10,10.151,10.45,1011900,10.45
2016-02-04,10.84,11.59,10.84,11.29,1054000,11.29
2016-02-03,10.30,11.03,10.01,11.00,728300,11.00
2016-02-02,10.95,10.95,10.13,10.23,927600,10.23
2016-02-01,10.73,11.12,10.55,11.05,1143000,11.05
2016-01-29,10.27,10.83,10.21,10.76,1217600,10.76
2016-01-28,9.65,10.28,9.52,10.16,1092300,10.16
2016-01-27,9.60,10.10,9.48,9.52,760600,9.52
2016-01-26,9.74,9.84,9.29,9.63,880800,9.63
2016-01-25,10.56,10.92,9.70,9.73,1154100,9.73
2016-01-22,10.60,11.04,10.40,10.59,1352900,10.59
2016-01-21,9.83,10.63,9.43,10.37,1299200,10.37
2016-01-20,9.21,9.86,8.82,9.75,2149300,9.75
2016-01-19,10.30,10.55,9.13,9.40,1554300,9.40
2016-01-15,10.23,10.39,9.91,10.18,920400,10.18
2016-01-14,10.76,10.793,10.00,10.71,1225400,10.71
2016-01-13,11.20,11.46,10.50,10.62,761600,10.62
2016-01-12,11.63,11.68,10.88,11.20,958800,11.20
2016-01-11,11.75,12.00,11.08,11.50,784600,11.50
2016-01-08,12.31,12.47,11.56,11.61,831100,11.61
2016-01-07,12.41,12.51,12.00,12.17,993100,12.17
2016-01-06,13.18,13.26,12.51,12.69,1143000,12.69
2016-01-05,14.25,14.29,13.27,13.32,1173300,13.32
2016-01-04,13.46,14.36,13.40,14.36,935200,14.36
2015-12-31,13.80,14.19,13.75,13.96,722500,13.96
2015-12-30,14.16,14.27,13.85,13.90,525900,13.90
2015-12-29,14.46,14.49,14.01,14.13,613000,14.13
2015-12-28,14.24,14.48,14.202,14.38,610600,14.38
2015-12-24,14.25,14.40,14.21,14.26,208400,14.26
2015-12-23,14.42,14.52,14.20,14.26,798800,14.26
2015-12-22,14.25,14.50,14.17,14.35,881900,14.35
2015-12-21,14.14,14.25,13.95,14.05,689800,14.05
2015-12-18,13.99,14.24,13.90,14.00,1847500,14.00
2015-12-17,13.89,14.28,13.86,13.96,1284800,13.96
2015-12-16,13.34,13.85,13.25,13.80,975400,13.80
2015-12-15,12.91,13.33,12.80,13.19,747200,13.19
2015-12-14,13.00,13.24,12.63,12.79,735700,12.79
2015-12-11,13.18,13.30,12.90,13.13,601900,13.13
2015-12-10,13.27,13.58,13.20,13.37,1110300,13.37
2015-12-09,13.41,13.57,13.00,13.19,717400,13.19
2015-12-08,13.53,13.75,13.35,13.40,1260500,13.40
2015-12-07,13.92,13.92,13.03,13.68,1699800,13.68
2015-12-04,13.46,14.00,13.44,13.90,2630800,13.90
2015-12-03,14.25,14.25,12.20,13.21,7674200,13.21
2015-12-02,13.81,14.18,13.52,14.16,1813600,14.16
2015-12-01,14.00,14.06,13.57,13.71,993400,13.71
2015-11-30,14.00,14.10,13.62,14.00,1114800,14.00
2015-11-27,14.02,14.09,13.66,13.97,347900,13.97
2015-11-25,13.77,14.14,13.55,13.85,936600,13.85
2015-11-24,13.34,13.75,13.19,13.72,1526400,13.72
2015-11-23,12.90,13.15,12.66,12.96,730600,12.96
2015-11-20,13.44,13.60,12.87,12.90,761200,12.90
2015-11-19,13.09,13.57,12.88,13.39,717100,13.39
2015-11-18,12.98,13.20,12.82,13.13,670600,13.13
2015-11-17,12.98,13.26,12.79,12.92,640500,12.92
2015-11-16,12.47,13.10,12.21,12.99,704400,12.99
2015-11-13,12.63,12.89,12.26,12.51,1138300,12.51
2015-11-12,13.68,13.97,13.00,13.00,877100,13.00
2015-11-11,13.07,14.13,13.07,13.79,1487300,13.79
2015-11-10,12.92,13.05,12.71,13.02,622700,13.02
2015-11-09,13.00,13.01,12.66,12.90,442600,12.90
2015-11-06,13.00,13.20,12.823,13.01,475700,13.01
2015-11-05,13.15,13.16,12.47,12.94,714900,12.94
2015-11-04,13.12,13.29,12.81,13.17,722800,13.17
2015-11-03,12.93,13.15,12.765,13.05,878700,13.05
2015-11-02,12.47,13.03,12.40,12.99,521600,12.99
2015-10-30,12.55,12.72,12.30,12.48,516600,12.48
2015-10-29,12.44,12.86,12.392,12.49,566600,12.49
2015-10-28,12.24,12.56,12.12,12.49,667000,12.49
2015-10-27,12.82,12.86,12.20,12.23,766800,12.23
2015-10-26,12.96,13.05,12.72,12.85,430000,12.85
2015-10-23,12.83,13.09,12.83,12.96,505700,12.96
2015-10-22,12.74,13.072,12.56,12.70,614600,12.70
2015-10-21,13.43,13.44,12.61,12.64,861900,12.64
2015-10-20,13.48,13.85,13.175,13.43,807800,13.43
2015-10-19,13.64,13.87,13.28,13.55,772300,13.55
2015-10-16,13.05,13.75,12.86,13.62,1388700,13.62
2015-10-15,12.69,12.98,12.36,12.61,786100,12.61
2015-10-14,12.02,12.67,12.00,12.62,938400,12.62
2015-10-13,12.59,12.62,12.00,12.06,805000,12.06
2015-10-12,12.26,12.66,12.00,12.63,928600,12.63
2015-10-09,12.11,12.47,12.04,12.22,1151500,12.22
2015-10-08,11.11,12.45,11.11,12.00,1476900,12.00
2015-10-07,11.25,11.45,10.96,11.09,947000,11.09
2015-10-06,11.27,11.45,10.93,11.20,930000,11.20
2015-10-05,11.72,11.73,11.25,11.34,1545700,11.34
2015-10-02,11.80,12.10,11.60,11.67,1253700,11.67
2015-10-01,12.67,12.74,11.72,11.88,1116800,11.88
2015-09-30,12.43,12.62,12.09,12.58,922000,12.58
2015-09-29,12.33,12.57,11.90,12.30,930600,12.30
2015-09-28,12.71,12.90,12.20,12.35,842900,12.35
2015-09-25,13.50,13.68,12.72,12.80,1490200,12.80
2015-09-24,12.65,13.01,12.60,12.94,566800,12.94
2015-09-23,12.82,13.24,12.70,12.74,738400,12.74
2015-09-22,12.70,12.99,12.62,12.77,524500,12.77
2015-09-21,12.82,12.99,12.52,12.91,861500,12.91
2015-09-18,12.74,13.04,12.61,12.83,845700,12.83
2015-09-17,12.78,13.15,12.62,12.96,882800,12.96
2015-09-16,12.94,13.30,12.72,12.94,789700,12.94
2015-09-15,12.84,13.30,12.55,12.94,780000,12.94
2015-09-14,13.06,13.50,12.62,12.77,1751600,12.77
2015-09-11,13.95,14.01,13.54,13.71,747600,13.71
2015-09-10,14.40,14.50,13.24,13.86,2942600,13.86
2015-09-09,14.00,14.80,13.74,14.25,2079400,14.25
2015-09-08,13.49,14.00,13.26,13.90,1255900,13.90
2015-09-04,12.95,13.43,12.915,13.31,851800,13.31
2015-09-03,13.06,13.15,12.96,12.99,434400,12.99
2015-09-02,13.05,13.192,12.80,13.10,736200,13.10
2015-09-01,13.27,13.44,12.80,12.90,747700,12.90
2015-08-31,13.65,13.68,13.21,13.48,455800,13.48
2015-08-28,13.50,13.75,13.406,13.68,286900,13.68
2015-08-27,13.43,13.78,13.095,13.57,660600,13.57
2015-08-26,13.72,13.73,12.80,13.25,1152900,13.25
2015-08-25,14.00,14.00,13.011,13.46,1050500,13.46
2015-08-24,12.78,13.70,11.69,13.01,1981200,13.01
2015-08-21,14.19,14.30,13.70,14.07,1347100,14.07
2015-08-20,14.53,14.58,14.00,14.40,960500,14.40
2015-08-19,14.28,15.00,14.02,14.74,931000,14.74
2015-08-18,14.54,14.62,14.22,14.35,404500,14.35
2015-08-17,14.55,14.82,14.36,14.57,432000,14.57
2015-08-14,14.61,14.88,14.37,14.55,464900,14.55
2015-08-13,14.51,14.83,14.19,14.56,516900,14.56
2015-08-12,14.57,14.81,13.94,14.37,923700,14.37
2015-08-11,15.12,15.121,14.52,14.75,539800,14.75
2015-08-10,15.60,15.60,14.92,15.27,865000,15.27
2015-08-07,14.57,15.59,14.34,15.53,1198300,15.53
2015-08-06,14.15,14.35,13.80,14.01,901200,14.01
2015-08-05,14.55,14.89,14.05,14.06,1324000,14.06
2015-08-04,15.35,15.35,14.17,14.45,1882300,14.45
2015-08-03,16.209999,16.35,15.02,15.42,1448700,15.42
2015-07-31,16.559999,16.60,16.200001,16.33,950800,16.33
2015-07-30,16.33,16.780001,16.200001,16.690001,912400,16.690001
2015-07-29,16.389999,16.671,16.200001,16.469999,442100,16.469999
2015-07-28,16.799999,16.889999,16.379999,16.41,977600,16.41
2015-07-27,16.93,16.93,16.40,16.639999,1071500,16.639999
2015-07-24,16.41,16.790001,16.15,16.290001,775800,16.290001
2015-07-23,16.690001,16.799999,16.15,16.379999,1568700,16.379999
2015-07-22,16.85,17.01,16.549999,16.629999,2930200,16.629999
2015-07-21,17.639999,17.950001,17.00,17.059999,1040600,17.059999
2015-07-20,18.49,18.617001,17.50,17.549999,1297400,17.549999
2015-07-17,18.60,19.09,18.42,18.74,1739800,18.74
2015-07-16,17.99,18.667999,17.98,18.389999,895500,18.389999
2015-07-15,18.450001,18.450001,17.75,17.83,993900,17.83
2015-07-14,17.344999,18.299999,17.25,18.049999,2201300,18.049999
2015-07-13,16.790001,17.200001,16.40,16.950001,1265000,16.950001
2015-07-10,17.00,17.15,16.549999,16.709999,813000,16.709999
2015-07-09,17.129999,17.299999,16.629999,16.809999,795000,16.809999
2015-07-08,17.360001,17.360001,16.629999,16.74,1031900,16.74
2015-07-07,17.67,17.83,17.01,17.57,804400,17.57
2015-07-06,18.360001,18.50,17.85,17.99,640700,17.99
2015-07-02,18.83,18.99,18.219999,18.559999,489000,18.559999
2015-07-01,18.959999,19.139999,18.60,18.76,520500,18.76
2015-06-30,18.93,19.15,18.459999,18.639999,648600,18.639999
2015-06-29,18.700001,19.33,18.07,18.10,762600,18.10
2015-06-26,19.389999,19.93,18.76,19.10,1090100,19.10
2015-06-25,18.83,19.50,18.540001,19.35,1441900,19.35
2015-06-24,19.00,19.35,18.290001,18.530001,2436600,18.530001
2015-06-23,17.60,17.85,17.33,17.549999,325100,17.549999
2015-06-22,17.48,17.57,17.08,17.549999,565900,17.549999
2015-06-19,17.58,17.77,17.299999,17.42,649300,17.42
2015-06-18,17.620001,17.90,17.50,17.52,401600,17.52
2015-06-17,18.00,18.42,17.34,17.370001,934500,17.370001
2015-06-16,17.07,18.07,16.969999,17.90,1194600,17.90
2015-06-15,17.09,17.469999,16.83,17.120001,851400,17.120001
2015-06-12,18.10,18.139999,17.25,17.25,1660600,17.25
2015-06-11,19.639999,20.60,18.059999,18.290001,7130300,18.290001
2015-06-10,16.959999,18.00,16.90,17.790001,1851500,17.790001
2015-06-09,17.629999,17.67,16.76,16.92,778300,16.92
2015-06-08,17.48,17.83,17.370001,17.620001,334400,17.620001
2015-06-05,17.309999,17.59,17.129999,17.530001,233400,17.530001
2015-06-04,17.290001,17.450001,17.209999,17.33,321600,17.33
2015-06-03,17.43,17.48,17.25,17.34,254300,17.34
2015-06-02,17.50,17.65,17.35,17.370001,241900,17.370001
