Date,Open,High,Low,Close,Volume,Adj Close
2016-05-03,17.945,18.00,16.950001,17.18,16099800,17.18
2016-05-02,18.389999,18.389999,17.719999,18.370001,6844800,18.370001
2016-04-29,18.190001,18.280001,17.75,18.25,7907800,18.25
2016-04-28,18.50,18.85,17.92,18.10,8959000,18.10
2016-04-27,17.25,17.950001,17.129999,17.879999,8209100,17.879999
2016-04-26,17.41,17.50,17.16,17.389999,4423200,17.389999
2016-04-25,17.51,17.780001,16.950001,17.41,10539600,17.41
2016-04-22,17.35,17.65,17.209999,17.58,4610300,17.58
2016-04-21,17.99,18.280001,17.111,17.459999,7683100,17.459999
2016-04-20,17.42,18.190001,17.34,17.690001,10621800,17.690001
2016-04-19,17.23,17.50,16.809999,17.34,7646000,17.34
2016-04-18,17.00,17.50,16.969999,17.040001,9337100,17.040001
2016-04-15,16.370001,17.450001,16.370001,17.200001,12381500,17.200001
2016-04-14,16.969999,17.09,16.27,16.33,11613000,16.33
2016-04-13,15.90,17.188,15.75,17.01,22044900,17.01
2016-04-12,14.93,15.36,14.89,15.15,4982100,15.15
2016-04-11,14.85,15.52,14.77,14.84,8962500,14.84
2016-04-08,15.11,15.22,14.40,14.50,7373800,14.50
2016-04-07,15.36,15.72,14.81,14.86,6914700,14.86
2016-04-06,15.26,15.68,15.20,15.48,5292800,15.48
2016-04-05,15.30,15.57,15.03,15.10,6583800,15.10
2016-04-04,15.00,15.75,14.75,15.51,10429000,15.51
2016-04-01,14.90,15.72,14.71,14.92,14749400,14.92
2016-03-31,14.06,15.23,13.82,15.15,21246800,15.15
2016-03-30,14.00,14.00,12.93,13.40,16561400,13.40
2016-03-29,13.48,14.12,13.31,14.01,6298700,14.01
2016-03-28,14.53,14.549,13.36,13.55,10160700,13.55
2016-03-24,14.37,14.63,14.14,14.58,5351200,14.58
2016-03-23,15.28,15.58,14.54,14.55,7652600,14.55
2016-03-22,14.80,15.91,14.78,15.28,11900100,15.28
2016-03-21,14.33,14.90,14.25,14.90,6453100,14.90
2016-03-18,14.40,14.618,14.13,14.38,6594300,14.38
2016-03-17,14.23,14.79,14.11,14.47,5770500,14.47
2016-03-16,14.17,14.49,13.94,14.32,5594300,14.32
2016-03-15,14.43,14.45,13.57,13.93,7378800,13.93
2016-03-14,14.49,14.80,14.27,14.47,6662600,14.47
2016-03-11,13.65,14.61,13.57,14.51,14229700,14.51
2016-03-10,13.35,13.79,13.23,13.53,9039600,13.53
2016-03-09,13.17,13.27,12.515,13.22,12095300,13.22
2016-03-08,13.19,13.85,12.95,13.05,18447200,13.05
2016-03-07,12.86,13.30,12.77,13.03,7295800,13.03
2016-03-04,12.53,13.18,12.47,12.86,11833800,12.86
2016-03-03,12.82,12.85,12.26,12.47,11315000,12.47
2016-03-02,12.47,13.05,12.36,12.87,10259300,12.87
2016-03-01,12.35,12.48,12.10,12.41,9012700,12.41
2016-02-29,12.38,12.38,12.00,12.23,9949100,12.23
2016-02-26,12.41,12.55,12.14,12.15,7201700,12.15
2016-02-25,12.17,12.77,12.05,12.26,13067400,12.26
2016-02-24,12.74,12.74,11.91,12.33,16943600,12.33
2016-02-23,14.03,14.30,12.97,13.08,40612200,13.08
2016-02-22,15.95,16.75,15.60,16.52,22222200,16.52
2016-02-19,15.80,15.96,15.55,15.60,5837800,15.60
2016-02-18,16.15,16.35,15.61,16.00,5240000,16.00
2016-02-17,15.20,16.440001,14.80,15.89,7753800,15.89
2016-02-16,14.39,15.09,13.81,14.90,5082500,14.90
2016-02-12,14.18,14.49,13.80,13.94,4665400,13.94
2016-02-11,14.00,14.184,12.90,13.78,13818900,13.78
2016-02-10,14.82,15.88,14.31,14.68,6349500,14.68
2016-02-09,14.03,15.58,13.99,14.30,6984300,14.30
2016-02-08,15.42,15.42,14.16,14.38,5787600,14.38
2016-02-05,16.950001,16.965,15.68,15.73,6141400,15.73
