Date,Open,High,Low,Close,Volume,Adj Close
2016-05-03,12.10,12.12,11.45,11.65,6218000,11.65
2016-05-02,12.56,12.64,12.00,12.23,6264400,12.23
2016-04-29,13.02,13.14,12.41,12.64,5355900,12.64
2016-04-28,13.24,13.35,12.91,12.94,5096700,12.94
2016-04-27,12.94,13.43,12.80,13.30,4667200,13.30
2016-04-26,12.86,13.24,12.53,13.18,5285900,13.18
2016-04-25,13.71,13.80,12.67,12.82,11089500,12.82
2016-04-22,13.53,14.179,13.50,13.98,6612300,13.98
2016-04-21,13.52,13.82,13.32,13.56,5355000,13.56
2016-04-20,13.09,13.77,12.90,13.44,8377700,13.44
2016-04-19,13.21,13.38,12.82,12.95,5428600,12.95
2016-04-18,13.68,13.68,13.04,13.13,7017100,13.13
2016-04-15,13.59,14.34,13.41,13.77,9264100,13.77
2016-04-14,14.17,14.35,13.11,13.80,17303400,13.80
2016-04-13,12.00,14.04,11.85,13.90,21039600,13.90
2016-04-12,11.93,12.06,11.58,11.68,4851800,11.68
2016-04-11,12.35,12.53,11.74,11.77,5344900,11.77
2016-04-08,12.37,12.75,12.25,12.32,4660000,12.32
2016-04-07,11.90,12.49,11.90,12.29,5312900,12.29
2016-04-06,11.79,12.16,11.63,12.12,5983800,12.12
2016-04-05,11.93,12.04,11.621,11.65,4048000,11.65
2016-04-04,11.77,12.37,11.67,12.03,5288200,12.03
2016-04-01,11.81,11.99,11.61,11.74,3899000,11.74
2016-03-31,12.20,12.213,11.84,11.96,4372200,11.96
2016-03-30,11.79,12.37,11.70,12.16,6099000,12.16
2016-03-29,11.46,11.76,11.08,11.65,7289900,11.65
2016-03-28,12.43,12.50,11.49,11.50,6918800,11.50
2016-03-24,12.20,12.48,11.92,12.42,2834000,12.42
2016-03-23,12.97,13.11,12.23,12.27,4407500,12.27
2016-03-22,12.99,13.17,12.79,12.97,3339300,12.97
2016-03-21,12.75,13.19,12.63,13.07,3356800,13.07
2016-03-18,13.14,13.61,12.72,12.88,6224300,12.88
2016-03-17,12.30,13.19,12.24,12.95,6603100,12.95
2016-03-16,11.71,12.47,11.66,12.31,6304800,12.31
2016-03-15,12.21,12.24,11.55,11.70,6310700,11.70
2016-03-14,12.52,12.60,12.14,12.27,5480000,12.27
2016-03-11,12.32,12.98,12.13,12.60,6948200,12.60
2016-03-10,12.42,12.62,11.90,12.18,5813500,12.18
2016-03-09,12.70,12.70,12.10,12.28,4907100,12.28
2016-03-08,13.70,13.70,12.375,12.41,10756600,12.41
2016-03-07,13.50,14.075,13.23,13.88,9565100,13.88
2016-03-04,13.34,14.84,13.10,13.36,14102400,13.36
2016-03-03,13.10,14.10,12.76,13.58,10986000,13.58
2016-03-02,12.03,13.24,11.95,13.02,8861100,13.02
2016-03-01,12.06,12.32,11.65,11.89,7732000,11.89
2016-02-29,12.33,12.45,11.76,11.88,5826400,11.88
2016-02-26,11.47,12.75,11.34,12.30,9529900,12.30
2016-02-25,11.69,12.00,11.01,11.34,7064100,11.34
2016-02-24,11.77,11.86,11.26,11.75,5020400,11.75
2016-02-23,12.80,12.83,12.00,12.11,5490200,12.11
2016-02-22,12.74,12.953,12.38,12.86,6261600,12.86
2016-02-19,12.32,12.72,12.04,12.38,4965600,12.38
2016-02-18,13.17,13.42,12.13,12.39,7987600,12.39
2016-02-17,11.38,13.05,11.30,12.99,11718500,12.99
2016-02-16,10.52,11.70,10.32,11.59,8913100,11.59
2016-02-12,10.30,10.56,10.12,10.31,4000000,10.31
2016-02-11,10.37,10.71,9.95,10.17,4499800,10.17
2016-02-10,11.50,11.63,10.54,10.59,8913900,10.59
2016-02-09,10.65,11.65,10.54,11.39,10144900,11.39
2016-02-08,10.32,11.69,10.01,10.99,15246800,10.99
2016-02-05,9.74,10.68,9.60,9.96,8990600,9.96
2016-02-04,9.13,10.20,9.01,9.78,21150300,9.78
