Date,Open,High,Low,Close,Volume,Adj Close
2016-05-03,3.40,3.50,3.37,3.38,12828000,3.38
2016-05-02,3.60,3.60,3.29,3.49,21333800,3.49
2016-04-29,4.06,4.09,3.57,3.62,45002200,3.62
2016-04-28,4.58,4.64,4.39,4.43,11125400,4.43
2016-04-27,4.64,4.70,4.43,4.61,13580200,4.61
2016-04-26,4.52,4.72,4.52,4.61,7959400,4.61
2016-04-25,4.46,4.56,4.45,4.55,7267100,4.55
2016-04-22,4.55,4.59,4.41,4.47,6805200,4.47
2016-04-21,4.55,4.65,4.51,4.54,4386900,4.54
2016-04-20,4.50,4.61,4.46,4.55,5098500,4.55
2016-04-19,4.52,4.62,4.50,4.57,4754300,4.57
2016-04-18,4.55,4.65,4.46,4.55,6854600,4.55
2016-04-15,4.43,4.67,4.42,4.59,7253200,4.59
2016-04-14,4.59,4.70,4.39,4.42,8609200,4.42
2016-04-13,4.41,4.53,4.36,4.52,10167800,4.52
2016-04-12,4.11,4.40,4.11,4.36,11155700,4.36
2016-04-11,4.27,4.30,4.11,4.13,5055500,4.13
2016-04-08,4.34,4.37,4.12,4.21,7559900,4.21
2016-04-07,4.41,4.48,4.26,4.28,10352500,4.28
2016-04-06,4.42,4.53,4.27,4.46,13500100,4.46
2016-04-05,4.29,4.40,4.21,4.39,14107200,4.39
2016-04-04,4.10,4.53,4.04,4.29,28657700,4.29
2016-04-01,3.90,3.99,3.85,3.92,6571000,3.92
2016-03-31,3.90,4.07,3.90,3.99,6862700,3.99
2016-03-30,3.97,4.01,3.87,3.90,8015200,3.90
2016-03-29,3.88,4.01,3.81,3.97,8076700,3.97
2016-03-28,3.97,4.00,3.86,3.90,6472700,3.90
2016-03-24,3.85,3.99,3.77,3.93,8045400,3.93
2016-03-23,4.11,4.14,3.85,3.87,9001800,3.87
2016-03-22,4.11,4.20,4.09,4.11,4300100,4.11
2016-03-21,4.02,4.16,4.01,4.16,6911900,4.16
2016-03-18,4.25,4.29,4.04,4.05,14372900,4.05
2016-03-17,4.06,4.29,4.03,4.15,9000900,4.15
2016-03-16,3.96,4.12,3.95,4.02,10820300,4.02
2016-03-15,4.07,4.12,3.79,3.97,17752600,3.97
2016-03-14,4.11,4.25,4.11,4.13,8512100,4.13
2016-03-11,4.11,4.23,4.03,4.14,11759300,4.14
2016-03-10,4.21,4.24,4.02,4.04,12312100,4.04
2016-03-09,4.32,4.34,4.05,4.11,15346200,4.11
2016-03-08,4.73,4.76,4.55,4.58,12140400,4.58
2016-03-07,4.84,5.00,4.72,4.76,13236100,4.76
2016-03-04,4.89,5.28,4.73,4.79,23087200,4.79
2016-03-03,4.50,5.00,4.49,4.86,16940900,4.86
2016-03-02,4.60,4.67,4.48,4.66,10321200,4.66
2016-03-01,4.85,4.85,4.48,4.63,18735900,4.63
2016-02-29,4.52,4.83,4.44,4.78,24362600,4.78
2016-02-26,4.33,4.68,4.26,4.49,31321300,4.49
2016-02-25,4.22,4.33,4.10,4.14,13133100,4.14
2016-02-24,4.07,4.26,3.96,4.20,13384100,4.20
2016-02-23,4.23,4.27,4.10,4.22,12073500,4.22
2016-02-22,4.27,4.40,4.10,4.31,22694300,4.31
2016-02-19,3.89,4.45,3.87,4.09,44073300,4.09
2016-02-18,3.76,3.91,3.62,3.84,22260600,3.84
2016-02-17,3.94,4.13,3.60,3.79,52693700,3.79
2016-02-16,3.30,4.24,3.27,4.08,87587200,4.08
2016-02-12,2.69,2.96,2.66,2.89,31879300,2.89
2016-02-11,2.16,2.25,2.15,2.24,13584700,2.24
2016-02-10,2.27,2.31,2.19,2.25,10144600,2.25
2016-02-09,2.27,2.40,2.15,2.22,16328600,2.22
2016-02-08,2.41,2.43,2.30,2.31,15270200,2.31
2016-02-05,2.61,2.62,2.43,2.45,13600500,2.45
2016-02-04,2.44,2.69,2.43,2.64,9462300,2.64
2016-02-03,2.47,2.49,2.35,2.47,10724800,2.47
2016-02-02,2.64,2.67,2.42,2.47,10635800,2.47
2016-02-01,2.67,2.75,2.62,2.64,9545800,2.64
2016-01-29,2.67,2.80,2.66,2.72,8682600,2.72
2016-01-28,2.75,2.83,2.67,2.69,7120300,2.69
2016-01-27,2.72,2.87,2.69,2.69,6764100,2.69
2016-01-26,2.63,2.82,2.61,2.78,6493900,2.78
2016-01-25,2.66,2.70,2.60,2.62,4807200,2.62
2016-01-22,2.59,2.67,2.51,2.65,7368200,2.65
2016-01-21,2.38,2.60,2.37,2.54,7308700,2.54
2016-01-20,2.40,2.44,2.23,2.39,15103300,2.39
2016-01-19,2.66,2.68,2.45,2.47,8881500,2.47
2016-01-15,2.66,2.68,2.50,2.60,7436800,2.60
2016-01-14,2.54,2.78,2.40,2.75,11846300,2.75
2016-01-13,2.65,2.71,2.52,2.55,8993200,2.55
2016-01-12,2.73,2.76,2.58,2.63,6230500,2.63
2016-01-11,2.80,2.82,2.57,2.65,9470400,2.65
2016-01-08,2.93,2.97,2.77,2.78,4617100,2.78
2016-01-07,2.95,3.03,2.86,2.86,7374500,2.86
2016-01-06,3.12,3.14,3.00,3.03,8030300,3.03
2016-01-05,3.02,3.15,3.01,3.13,7843600,3.13
2016-01-04,3.03,3.12,2.92,3.00,7318200,3.00
2015-12-31,3.11,3.18,3.07,3.07,4835100,3.07
2015-12-30,3.08,3.25,3.08,3.13,7183600,3.13
2015-12-29,3.14,3.22,3.11,3.14,5160100,3.14
2015-12-28,3.24,3.28,3.10,3.14,6246100,3.14
2015-12-24,3.25,3.34,3.24,3.28,3296200,3.28
2015-12-23,3.12,3.35,3.10,3.27,6950500,3.27
2015-12-22,3.07,3.16,3.05,3.11,5649200,3.11
2015-12-21,3.16,3.22,3.08,3.09,4349500,3.09
2015-12-18,3.15,3.24,3.09,3.15,15692400,3.15
2015-12-17,3.16,3.24,3.15,3.17,4820500,3.17
2015-12-16,3.14,3.18,3.05,3.17,6608200,3.17
2015-12-15,3.09,3.18,3.04,3.11,5691200,3.11
2015-12-14,2.99,3.19,2.98,3.11,9943900,3.11
2015-12-11,3.05,3.10,2.91,2.98,7587700,2.98
2015-12-10,3.01,3.20,3.00,3.08,12777500,3.08
2015-12-09,2.96,3.03,2.91,3.02,6292600,3.02
2015-12-08,2.81,3.01,2.75,3.00,7560200,3.00
2015-12-07,3.06,3.07,2.84,2.86,8754300,2.86
2015-12-04,3.03,3.09,3.00,3.06,5796500,3.06
2015-12-03,3.10,3.18,3.01,3.04,8534800,3.04
2015-12-02,2.85,3.15,2.85,3.08,15835300,3.08
2015-12-01,2.85,2.89,2.85,2.87,4905200,2.87
2015-11-30,2.90,2.91,2.85,2.89,3874100,2.89
2015-11-27,2.91,2.93,2.88,2.90,2110300,2.90
2015-11-25,2.87,2.93,2.83,2.89,4525400,2.89
2015-11-24,2.79,2.88,2.77,2.87,7434100,2.87
2015-11-23,2.72,2.92,2.72,2.80,9530400,2.80
2015-11-20,2.78,2.82,2.71,2.72,4617000,2.72
2015-11-19,2.68,2.80,2.65,2.79,8407300,2.79
2015-11-18,2.75,2.85,2.66,2.69,19126300,2.69
2015-11-17,2.62,2.81,2.60,2.76,18527900,2.76
2015-11-16,2.58,2.68,2.54,2.64,7396300,2.64
2015-11-13,2.67,2.70,2.54,2.57,10216200,2.57
