Date,Open,High,Low,Close,Volume,Adj Close
2016-05-03,23.35,26.00,22.49,24.65,8438400,24.65
2016-05-02,26.25,26.940001,25.950001,26.540001,3657100,26.540001
2016-04-29,26.24,26.700001,25.799999,26.219999,1027600,26.219999
2016-04-28,26.700001,26.950001,26.225,26.26,1079300,26.26
2016-04-27,26.90,27.27,26.389999,26.709999,1992400,26.709999
2016-04-26,26.76,26.99,26.32,26.969999,809700,26.969999
2016-04-25,27.00,27.23,26.50,26.799999,1063700,26.799999
2016-04-22,26.469999,27.370001,26.25,26.99,1487700,26.99
2016-04-21,26.540001,26.84,26.200001,26.59,616800,26.59
2016-04-20,25.99,26.52,25.75,26.360001,729500,26.360001
2016-04-19,25.60,26.58,25.545,25.99,1487500,25.99
2016-04-18,25.32,25.809999,25.25,25.49,1081900,25.49
2016-04-15,25.59,25.655001,25.10,25.51,1553100,25.51
2016-04-14,24.940001,25.620001,24.940001,25.59,1783300,25.59
2016-04-13,23.77,25.129999,23.77,24.940001,1187600,24.940001
2016-04-12,23.35,23.764999,22.83,23.620001,818600,23.620001
2016-04-11,24.26,24.58,23.290001,23.290001,1373700,23.290001
2016-04-08,24.08,24.82,23.889999,24.16,1453600,24.16
2016-04-07,23.690001,24.190001,23.60,24.01,1708700,24.01
2016-04-06,23.90,24.35,23.73,23.90,1058100,23.90
2016-04-05,23.690001,23.90,23.24,23.76,1397400,23.76
2016-04-04,24.66,24.75,23.780001,23.99,1935200,23.99
2016-04-01,24.98,25.280001,24.51,24.700001,982600,24.700001
2016-03-31,24.34,25.639999,24.34,25.129999,5130500,25.129999
2016-03-30,23.75,24.41,23.690001,24.290001,1705400,24.290001
2016-03-29,22.90,23.809999,22.620001,23.719999,913200,23.719999
2016-03-28,22.73,23.129999,22.26,22.98,1035500,22.98
2016-03-24,22.34,23.25,22.24,22.610001,2056900,22.610001
2016-03-23,23.389999,23.51,22.700001,22.73,2214200,22.73
2016-03-22,23.58,23.76,23.35,23.48,969800,23.48
2016-03-21,23.32,24.184999,23.23,23.73,863700,23.73
2016-03-18,24.00,24.219999,23.26,23.41,2361300,23.41
2016-03-17,23.209999,24.02,22.83,23.83,1242300,23.83
2016-03-16,23.41,23.60,22.40,23.27,2507900,23.27
2016-03-15,24.379999,24.450001,23.218,23.559999,1652500,23.559999
2016-03-14,24.639999,24.879999,24.059999,24.66,994800,24.66
2016-03-11,24.190001,24.92,23.85,24.879999,683900,24.879999
2016-03-10,25.24,25.25,23.566999,24.00,1515800,24.00
2016-03-09,24.48,25.33,24.27,25.120001,1725000,25.120001
2016-03-08,25.120001,25.52,24.33,24.469999,2216000,24.469999
2016-03-07,24.48,25.33,24.059999,25.280001,2843700,25.280001
2016-03-04,23.75,24.870001,23.459999,24.49,2009600,24.49
2016-03-03,24.18,24.379999,23.58,23.709999,2311200,23.709999
2016-03-02,23.67,24.334999,23.459999,24.08,1726100,24.08
