Date,Open,High,Low,Close,Volume,Adj Close
2016-05-03,46.720001,47.18,44.945,45.810001,379800,45.810001
2016-05-02,44.740002,47.23,44.27,47.220001,433200,47.220001
2016-04-29,45.040001,45.59,44.139999,44.290001,220400,44.290001
2016-04-28,44.869999,45.66,44.257999,45.040001,215300,45.040001
2016-04-27,44.490002,45.040001,44.200001,45.009998,136300,45.009998
2016-04-26,44.580002,44.990002,44.00,44.52,293900,44.52
2016-04-25,44.82,45.064999,44.150002,44.369999,156400,44.369999
2016-04-22,45.080002,45.43,44.580002,44.810001,288500,44.810001
2016-04-21,43.939999,45.575001,43.599998,45.139999,452300,45.139999
2016-04-20,42.98,43.91,42.389999,43.619999,109700,43.619999
2016-04-19,43.540001,43.935001,42.560001,42.869999,172900,42.869999
2016-04-18,42.380001,44.445,42.25,43.52,496000,43.52
2016-04-15,40.970001,42.150002,40.895,42.049999,234900,42.049999
2016-04-14,40.080002,40.900002,39.810001,40.82,227600,40.82
2016-04-13,39.759998,40.77,39.41,40.610001,352000,40.610001
2016-04-12,41.52,41.580002,39.009998,39.57,549900,39.57
2016-04-11,42.169998,43.07,41.459999,41.459999,399400,41.459999
2016-04-08,42.34,42.82,41.826,42.080002,356100,42.080002
2016-04-07,43.209999,43.389999,41.564999,41.810001,224200,41.810001
2016-04-06,41.98,43.98,41.00,43.869999,496500,43.869999
2016-04-05,42.389999,42.389999,40.57,41.950001,478100,41.950001
2016-04-04,42.509998,43.119999,41.959999,42.869999,361200,42.869999
2016-04-01,43.299999,43.619999,42.380001,43.150002,291500,43.150002
2016-03-31,44.990002,45.09,41.400002,43.619999,994000,43.619999
2016-03-30,45.50,45.689999,43.799999,44.970001,494700,44.970001
2016-03-29,45.939999,46.029999,45.110001,45.73,408100,45.73
2016-03-28,45.07,46.68,44.709999,46.139999,182200,46.139999
2016-03-24,45.259998,45.330002,44.07,44.93,269700,44.93
2016-03-23,46.849998,47.049999,45.16,45.400002,372100,45.400002
2016-03-22,46.07,47.84,46.07,47.009998,298000,47.009998
2016-03-21,45.73,46.560001,45.259998,46.419998,421100,46.419998
2016-03-18,44.709999,45.819,44.709999,45.720001,613900,45.720001
2016-03-17,44.139999,44.68,42.869999,44.369999,228500,44.369999
2016-03-16,43.82,44.459999,43.404999,44.139999,263300,44.139999
2016-03-15,44.689999,45.450001,43.48,44.09,378000,44.09
2016-03-14,45.200001,45.450001,44.330002,45.119999,312600,45.119999
2016-03-11,45.380001,45.799999,44.810001,45.720001,301000,45.720001
2016-03-10,44.580002,45.299999,44.299999,45.080002,358500,45.080002
2016-03-09,44.50,44.805,44.07,44.610001,232800,44.610001
2016-03-08,44.75,45.195,44.07,44.490002,401800,44.490002
2016-03-07,43.540001,45.25,43.16,45.049999,358400,45.049999
2016-03-04,43.75,44.75,43.049999,43.740002,478600,43.740002
2016-03-03,42.610001,43.82,42.459999,43.639999,539300,43.639999
2016-03-02,42.669998,43.490002,41.610001,43.080002,506300,43.080002
2016-03-01,41.950001,43.529999,41.330002,43.23,1378800,43.23
2016-02-29,40.509998,42.540001,40.34,41.66,1153900,41.66
2016-02-26,39.02,40.759998,38.68,40.619999,564900,40.619999
2016-02-25,37.25,38.799999,37.25,38.75,444100,38.75
2016-02-24,36.419998,37.200001,35.00,36.529999,322800,36.529999
2016-02-23,36.310001,37.439999,35.860001,36.639999,713100,36.639999
2016-02-22,34.459999,36.779999,34.130001,36.709999,562600,36.709999
2016-02-19,33.759998,34.599998,33.389999,34.18,232400,34.18
2016-02-18,34.34,34.759998,33.779999,34.009998,410000,34.009998
2016-02-17,32.669998,34.540001,32.549999,34.34,541500,34.34
2016-02-16,32.540001,32.779999,30.33,32.400002,537100,32.400002
2016-02-12,33.310001,33.650002,30.27,32.220001,960800,32.220001
2016-02-11,31.030001,34.400002,28.280001,33.02,2005100,33.02
2016-02-10,28.309999,29.459999,27.00,29.040001,1192700,29.040001
2016-02-09,29.120001,31.299999,27.459999,27.52,902600,27.52
2016-02-08,31.709999,31.858,27.74,29.00,687600,29.00
2016-02-05,39.639999,40.139999,31.014999,32.009998,863700,32.009998
2016-02-04,39.389999,40.549999,39.009998,39.939999,360700,39.939999
2016-02-03,38.580002,39.77,37.450001,39.610001,452600,39.610001
2016-02-02,40.50,40.860001,37.82,38.00,322000,38.00
2016-02-01,40.220001,41.060001,38.779999,40.799999,221300,40.799999
2016-01-29,40.00,41.619999,39.709999,40.59,392600,40.59
2016-01-28,40.700001,40.965,38.049999,40.029999,742000,40.029999
2016-01-27,42.810001,42.849998,40.23,40.900002,379500,40.900002
2016-01-26,45.450001,45.630001,42.25,42.950001,665500,42.950001
2016-01-25,48.66,49.139999,45.150002,45.369999,285700,45.369999
2016-01-22,49.09,50.00,48.619999,49.07,195900,49.07
2016-01-21,47.830002,49.099998,47.119999,48.689999,324700,48.689999
2016-01-20,47.029999,48.779999,43.709999,47.990002,319200,47.990002
2016-01-19,50.48,50.487999,46.903999,47.349998,280500,47.349998
2016-01-15,49.25,50.099998,47.869999,50.040001,239300,50.040001
2016-01-14,49.98,51.049999,49.200001,50.509998,388800,50.509998
2016-01-13,52.970001,53.59,49.166,49.939999,215300,49.939999
2016-01-12,54.549999,54.990002,52.139999,52.970001,196000,52.970001
2016-01-11,52.470001,53.970001,51.806999,53.91,232700,53.91
2016-01-08,52.91,53.73,52.52,52.66,294600,52.66
2016-01-07,53.75,53.839001,52.419998,52.759998,211700,52.759998
2016-01-06,53.91,54.939999,53.509998,54.689999,198900,54.689999
2016-01-05,54.77,54.959999,53.799999,54.650002,226400,54.650002
2016-01-04,55.439999,55.98,53.599998,54.889999,250900,54.889999
2015-12-31,57.540001,57.900002,56.27,56.310001,187000,56.310001
2015-12-30,57.68,58.630001,57.619999,57.73,119200,57.73
2015-12-29,56.860001,57.849998,56.860001,57.650002,118200,57.650002
2015-12-28,56.59,57.09,56.220001,56.720001,58700,56.720001
2015-12-24,57.00,57.07,56.299999,56.540001,55500,56.540001
2015-12-23,55.959999,56.900002,55.810001,56.650002,81500,56.650002
2015-12-22,55.48,56.029999,55.220001,55.830002,76200,55.830002
2015-12-21,55.470001,55.50,54.709999,55.220001,118100,55.220001
2015-12-18,56.959999,57.424999,55.130001,55.209999,352100,55.209999
2015-12-17,56.619999,57.59,56.099998,57.060001,146000,57.060001
2015-12-16,55.810001,56.41,54.299999,56.32,265000,56.32
2015-12-15,55.580002,56.48,55.049999,55.349998,276900,55.349998
2015-12-14,55.689999,56.23,54.299999,55.169998,272700,55.169998
2015-12-11,56.639999,57.27,55.369999,55.790001,234400,55.790001
2015-12-10,59.509998,60.044998,57.099998,57.330002,299000,57.330002
2015-12-09,59.200001,60.110001,58.669998,59.549999,475100,59.549999
2015-12-08,58.349998,59.68,57.560001,59.330002,237800,59.330002
2015-12-07,58.759998,59.189999,58.299999,58.919998,298300,58.919998
2015-12-04,57.360001,59.029999,57.310001,59.02,284300,59.02
2015-12-03,56.75,58.299999,56.43,57.580002,517600,57.580002
2015-12-02,55.93,56.84,55.119999,56.32,204500,56.32
2015-12-01,53.57,55.889999,52.73,55.650002,249400,55.650002
2015-11-30,55.880001,56.130001,54.169998,54.209999,265500,54.209999
2015-11-27,55.50,55.98,55.27,55.900002,179100,55.900002
2015-11-25,54.490002,56.220001,54.139999,55.439999,346200,55.439999
2015-11-24,53.700001,55.00,53.389999,54.599998,258200,54.599998
2015-11-23,53.259998,54.75,52.860001,53.93,430400,53.93
2015-11-20,53.00,53.68,52.380001,53.169998,210700,53.169998
2015-11-19,52.900002,53.779999,52.630001,52.970001,382600,52.970001
2015-11-18,52.419998,53.029999,51.32,52.91,862100,52.91
2015-11-17,52.299999,52.98,52.00,52.470001,168000,52.470001
2015-11-16,52.299999,52.700001,51.540001,52.150002,189800,52.150002
2015-11-13,53.060001,53.189999,51.93,52.490002,277200,52.490002
2015-11-12,51.66,53.23,50.779999,53.029999,383700,53.029999
2015-11-11,53.189999,53.380001,51.57,51.700001,316800,51.700001
2015-11-10,51.400002,53.330002,51.009998,52.990002,308000,52.990002
2015-11-09,52.380001,53.389999,51.540001,52.950001,696000,52.950001
