Date,Open,High,Low,Close,Volume,Adj Close
2016-05-03,3.19,3.24,3.12,3.13,257300,3.13
2016-05-02,3.15,3.24,3.15,3.19,212900,3.19
2016-04-29,3.17,3.22,3.12,3.15,430700,3.15
2016-04-28,3.18,3.26,3.18,3.20,300300,3.20
2016-04-27,3.25,3.25,3.16,3.19,210500,3.19
2016-04-26,3.13,3.25,3.13,3.23,367800,3.23
2016-04-25,3.15,3.20,3.13,3.13,457300,3.13
2016-04-22,3.27,3.28,2.93,3.12,1129200,3.12
2016-04-21,3.26,3.31,3.25,3.27,594500,3.27
2016-04-20,3.30,3.34,3.26,3.26,188300,3.26
2016-04-19,3.36,3.42,3.24,3.33,377000,3.33
2016-04-18,3.49,3.49,3.33,3.35,370000,3.35
2016-04-15,3.47,3.47,3.41,3.42,262800,3.42
2016-04-14,3.46,3.50,3.41,3.44,245100,3.44
2016-04-13,3.48,3.56,3.46,3.47,290600,3.47
2016-04-12,3.42,3.49,3.42,3.49,364000,3.49
2016-04-11,3.40,3.47,3.40,3.43,214600,3.43
2016-04-08,3.42,3.43,3.38,3.40,221100,3.40
2016-04-07,3.25,3.46,3.25,3.40,504900,3.40
2016-04-06,3.19,3.30,3.16,3.26,361100,3.26
2016-04-05,3.19,3.19,3.17,3.19,82100,3.19
2016-04-04,3.20,3.23,3.19,3.20,81200,3.20
2016-04-01,3.27,3.27,3.16,3.20,303100,3.20
2016-03-31,3.22,3.28,3.22,3.27,83000,3.27
2016-03-30,3.22,3.29,3.22,3.27,237500,3.27
2016-03-29,3.18,3.28,3.18,3.21,118900,3.21
2016-03-28,3.30,3.30,3.17,3.17,137000,3.17
2016-03-24,3.21,3.27,3.20,3.25,136100,3.25
2016-03-23,3.28,3.31,3.20,3.20,96300,3.20
2016-03-22,3.26,3.30,3.26,3.28,54500,3.28
2016-03-21,3.28,3.30,3.27,3.27,60400,3.27
2016-03-18,3.29,3.33,3.28,3.29,258200,3.29
2016-03-17,3.19,3.28,3.19,3.27,106300,3.27
2016-03-16,3.17,3.20,3.16,3.19,226300,3.19
2016-03-15,3.23,3.25,3.08,3.21,371600,3.21
2016-03-14,3.32,3.33,3.26,3.30,259400,3.30
2016-03-11,3.30,3.33,3.27,3.30,300300,3.30
2016-03-10,3.33,3.33,3.28,3.30,404800,3.30
2016-03-09,3.31,3.34,3.26,3.30,94100,3.30
2016-03-08,3.31,3.35,3.29,3.31,198000,3.31
2016-03-07,3.30,3.38,3.29,3.33,236600,3.33
2016-03-04,3.27,3.36,3.26,3.29,325700,3.29
2016-03-03,3.30,3.35,3.25,3.27,205100,3.27
2016-03-02,3.25,3.38,3.25,3.34,600600,3.34
2016-03-01,3.14,3.25,3.13,3.25,494400,3.25
2016-02-29,3.00,3.14,2.98,3.13,410000,3.13
2016-02-26,3.15,3.18,3.10,3.11,274400,3.11
2016-02-25,3.11,3.16,3.09,3.15,253300,3.15
2016-02-24,3.05,3.17,3.05,3.15,261000,3.15
2016-02-23,2.95,3.09,2.93,3.05,355200,3.05
2016-02-22,2.98,3.05,2.98,3.00,245000,3.00
2016-02-19,2.90,2.97,2.87,2.96,123000,2.96
2016-02-18,2.95,3.00,2.84,2.89,335600,2.89
2016-02-17,2.96,2.97,2.89,2.96,332400,2.96
2016-02-16,2.79,2.97,2.79,2.96,402000,2.96
2016-02-12,2.77,2.79,2.71,2.73,209600,2.73
2016-02-11,2.73,2.78,2.71,2.76,187300,2.76
2016-02-10,2.82,2.82,2.58,2.78,541800,2.78
2016-02-09,2.85,2.91,2.80,2.81,304200,2.81
2016-02-08,2.97,2.97,2.85,2.86,320100,2.86
2016-02-05,3.08,3.08,2.96,2.99,281700,2.99
2016-02-04,3.07,3.08,3.03,3.06,161900,3.06
2016-02-03,3.07,3.07,2.95,3.03,372800,3.03
2016-02-02,3.11,3.14,3.00,3.03,479900,3.03
2016-02-01,3.19,3.19,3.09,3.13,186300,3.13
2016-01-29,3.09,3.20,3.09,3.20,200700,3.20
2016-01-28,3.04,3.11,3.01,3.05,331400,3.05
2016-01-27,3.08,3.11,3.00,3.02,334100,3.02
2016-01-26,3.16,3.16,3.07,3.10,417300,3.10
2016-01-25,3.17,3.28,3.17,3.19,305000,3.19
2016-01-22,3.09,3.20,3.08,3.17,945100,3.17
2016-01-21,3.02,3.12,2.99,3.05,443100,3.05
2016-01-20,3.10,3.15,2.98,3.06,599600,3.06
2016-01-19,3.17,3.24,3.14,3.23,793500,3.23
2016-01-15,3.15,3.19,3.06,3.07,394500,3.07
2016-01-14,3.15,3.22,3.12,3.22,325600,3.22
2016-01-13,3.24,3.31,3.12,3.14,602200,3.14
2016-01-12,3.28,3.30,3.20,3.22,409700,3.22
2016-01-11,3.43,3.43,3.25,3.28,1095400,3.28
2016-01-08,3.56,3.58,3.42,3.45,397800,3.45
2016-01-07,3.60,3.60,3.49,3.50,517900,3.50
2016-01-06,3.62,3.68,3.62,3.63,147000,3.63
2016-01-05,3.64,3.67,3.61,3.66,269000,3.66
2016-01-04,3.64,3.68,3.52,3.67,365700,3.67
2015-12-31,3.68,3.71,3.65,3.68,526300,3.68
2015-12-30,3.67,3.72,3.67,3.68,222100,3.68
2015-12-29,3.74,3.75,3.66,3.69,293800,3.69
2015-12-28,3.68,3.75,3.66,3.74,374100,3.74
2015-12-24,3.64,3.74,3.64,3.72,333600,3.72
2015-12-23,3.65,3.68,3.64,3.67,245300,3.67
2015-12-22,3.62,3.69,3.62,3.66,460800,3.66
2015-12-21,3.56,3.69,3.56,3.67,691700,3.67
2015-12-18,3.62,3.66,3.55,3.57,561500,3.57
2015-12-17,3.58,3.67,3.58,3.64,211700,3.64
2015-12-16,3.60,3.65,3.53,3.62,389900,3.62
2015-12-15,3.51,3.62,3.48,3.61,252100,3.61
2015-12-14,3.53,3.53,3.48,3.52,177300,3.52
2015-12-11,3.60,3.60,3.50,3.51,520100,3.51
