Date,Open,High,Low,Close,Volume,Adj Close
2016-05-03,23.16,23.50,22.629999,22.84,1217000,22.84
2016-05-02,22.790001,23.50,22.790001,23.50,977800,23.50
2016-04-29,22.76,23.030001,22.465,22.60,584400,22.60
2016-04-28,22.73,23.629999,22.559999,22.690001,899500,22.690001
2016-04-27,22.709999,23.040001,22.530001,22.76,578900,22.76
2016-04-26,22.950001,23.200001,22.74,22.92,540600,22.92
2016-04-25,23.200001,23.50,22.860001,22.91,480500,22.91
2016-04-22,23.450001,23.77,22.780001,23.18,840700,23.18
2016-04-21,22.91,23.65,22.775,23.49,1091300,23.49
2016-04-20,21.459999,22.690001,21.370001,22.629999,783900,22.629999
2016-04-19,22.00,22.219999,21.444,21.530001,428700,21.530001
2016-04-18,21.50,22.209999,21.43,21.99,365900,21.99
2016-04-15,21.139999,21.74,20.74,21.66,829500,21.66
2016-04-14,21.68,21.68,21.18,21.26,354600,21.26
2016-04-13,20.860001,21.77,20.75,21.74,533900,21.74
2016-04-12,20.98,20.98,20.26,20.66,544900,20.66
2016-04-11,20.780001,21.360001,20.700001,21.01,462800,21.01
2016-04-08,20.98,21.58,20.57,20.690001,728600,20.690001
2016-04-07,20.969999,21.059999,20.68,20.799999,447600,20.799999
2016-04-06,21.16,21.27,20.84,21.059999,354900,21.059999
2016-04-05,21.139999,21.309999,20.809999,21.10,352000,21.10
2016-04-04,20.99,22.00,20.889999,21.299999,745000,21.299999
2016-04-01,20.75,21.030001,20.42,21.00,837900,21.00
2016-03-31,20.68,20.950001,20.360001,20.93,844900,20.93
2016-03-30,20.559999,20.98,20.48,20.74,570400,20.74
2016-03-29,19.620001,20.559999,19.60,20.50,625800,20.50
2016-03-28,19.780001,19.860001,19.16,19.620001,492700,19.620001
2016-03-24,19.50,19.60,18.98,19.52,701100,19.52
2016-03-23,20.049999,20.049999,19.51,19.639999,751300,19.639999
2016-03-22,19.940001,20.545,19.82,20.139999,585100,20.139999
2016-03-21,20.00,20.200001,19.74,20.07,418700,20.07
2016-03-18,19.92,20.23,19.805,20.09,1023900,20.09
2016-03-17,19.459999,19.799999,19.059999,19.77,941300,19.77
2016-03-16,19.07,19.629999,18.93,19.530001,747000,19.530001
2016-03-15,19.85,19.870001,18.709999,19.15,1169300,19.15
2016-03-14,20.030001,20.209999,19.889999,20.059999,459700,20.059999
2016-03-11,20.120001,20.440001,19.92,20.09,906900,20.09
2016-03-10,20.49,20.809999,19.67,19.98,1097800,19.98
2016-03-09,19.969999,20.280001,19.790001,20.26,721900,20.26
2016-03-08,20.18,20.299999,19.75,20.01,834200,20.01
2016-03-07,19.66,20.34,19.50,20.25,997200,20.25
2016-03-04,19.52,19.85,19.01,19.83,924900,19.83
2016-03-03,19.49,19.530001,18.955,19.459999,860600,19.459999
2016-03-02,19.299999,19.690001,19.00,19.360001,692300,19.360001
2016-03-01,18.620001,19.42,18.52,19.299999,1921400,19.299999
2016-02-29,18.50,18.792,18.299999,18.299999,1140500,18.299999
2016-02-26,18.42,18.85,18.16,18.549999,1094100,18.549999
2016-02-25,17.92,18.440001,17.436001,18.35,2082000,18.35
2016-02-24,17.209999,18.200001,17.00,18.18,938200,18.18
2016-02-23,17.719999,17.889999,17.375,17.49,1168000,17.49
2016-02-22,17.139999,17.860001,16.889999,17.790001,850400,17.790001
2016-02-19,16.959999,17.15,16.389999,17.110001,1500200,17.110001
2016-02-18,17.50,17.530001,16.639999,16.959999,1662700,16.959999
2016-02-17,16.389999,17.65,15.09,17.450001,3739400,17.450001
2016-02-16,16.040001,16.15,15.48,15.91,1611100,15.91
2016-02-12,15.51,15.91,15.28,15.83,1183100,15.83
2016-02-11,15.18,15.85,14.83,15.43,1390800,15.43
2016-02-10,14.93,16.00,14.88,15.49,1319300,15.49
2016-02-09,14.98,16.68,14.385,14.77,2540000,14.77
2016-02-08,16.030001,16.030001,14.55,15.01,2650700,15.01
2016-02-05,20.50,20.68,16.59,16.98,4050100,16.98
