Date,Open,High,Low,Close,Volume,Adj Close
2016-05-03,2.33,2.35,2.31,2.32,5361800,2.32
2016-05-02,2.39,2.40,2.34,2.37,9780700,2.37
2016-04-29,2.40,2.44,2.35,2.38,8172600,2.38
2016-04-28,2.41,2.45,2.39,2.40,5454100,2.40
2016-04-27,2.43,2.45,2.40,2.43,3792300,2.43
2016-04-26,2.46,2.48,2.41,2.44,10460500,2.44
2016-04-25,2.48,2.49,2.44,2.46,5914800,2.46
2016-04-22,2.52,2.55,2.45,2.48,8256300,2.48
2016-04-21,2.48,2.54,2.44,2.53,13718300,2.53
2016-04-20,2.47,2.50,2.45,2.48,6019200,2.48
2016-04-19,2.44,2.50,2.44,2.47,7424200,2.47
2016-04-18,2.39,2.47,2.36,2.46,5722100,2.46
2016-04-15,2.42,2.47,2.42,2.44,7287200,2.44
2016-04-14,2.44,2.45,2.40,2.43,3545800,2.43
2016-04-13,2.37,2.45,2.35,2.44,12832000,2.44
2016-04-12,2.35,2.39,2.31,2.36,12053700,2.36
2016-04-11,2.42,2.42,2.32,2.34,21172800,2.34
2016-04-08,2.35,2.40,2.32,2.40,7400300,2.40
2016-04-07,2.40,2.41,2.32,2.36,8814000,2.36
2016-04-06,2.31,2.43,2.30,2.40,14518000,2.40
2016-04-05,2.27,2.32,2.25,2.30,13491000,2.30
2016-04-04,2.21,2.31,2.19,2.29,18850500,2.29
2016-04-01,2.25,2.26,2.18,2.20,23062500,2.20
2016-03-31,2.26,2.28,2.22,2.28,14942300,2.28
2016-03-30,2.24,2.28,2.20,2.26,33030900,2.26
2016-03-29,2.18,2.25,2.14,2.23,11868900,2.23
2016-03-28,2.20,2.21,2.15,2.18,5516200,2.18
2016-03-24,2.18,2.20,2.13,2.20,5869900,2.20
2016-03-23,2.26,2.27,2.16,2.17,7216700,2.17
2016-03-22,2.22,2.29,2.20,2.25,12676800,2.25
2016-03-21,2.25,2.27,2.20,2.23,12775300,2.23
2016-03-18,2.25,2.27,2.23,2.27,10447500,2.27
2016-03-17,2.23,2.27,2.20,2.23,15280200,2.23
2016-03-16,2.22,2.24,2.16,2.21,9202200,2.21
2016-03-15,2.25,2.25,2.18,2.22,12949700,2.22
2016-03-14,2.23,2.28,2.20,2.25,9190100,2.25
2016-03-11,2.19,2.24,2.17,2.23,13011000,2.23
2016-03-10,2.19,2.20,2.12,2.19,7602700,2.19
2016-03-09,2.22,2.22,2.13,2.15,10391100,2.15
2016-03-08,2.25,2.25,2.18,2.19,10973600,2.19
2016-03-07,2.29,2.32,2.21,2.24,9926700,2.24
2016-03-04,2.27,2.32,2.25,2.28,10310400,2.28
2016-03-03,2.25,2.30,2.24,2.27,6483000,2.27
2016-03-02,2.30,2.36,2.19,2.25,19108200,2.25
2016-03-01,2.15,2.20,2.13,2.16,11313200,2.16
