occurrence_date,object_id,identifier,compstat_date,offense,sector,precinct,borough,jurisdiction,xcoord,ycoord,latitude,longitude
2012-06-28 10:00:00,700001,8c408eb0,2012-06-28,GRAND LARCENY,D,20,MANHATTAN,N.Y. POLICE DEPT,989601,222479,40.7773363590001,-73.9806809089999
2012-06-28 10:00:00,700002,17d5d7a3,2012-07-02,GRAND LARCENY,C,24,MANHATTAN,N.Y. POLICE DEPT,993575,228739,40.7945150910001,-73.966323533
2012-06-28 10:00:00,700003,830332c1,2012-06-28,GRAND LARCENY,F,40,BRONX,N.Y. POLICE DEPT,1007034,236608,40.8160888740001,-73.917688689
2012-06-28 10:03:00,700004,423cc12e,2012-06-28,GRAND LARCENY OF MOTOR VEHICLE,D,32,MANHATTAN,N.Y. POLICE DEPT,1001339,236103,40.8147156420001,-73.938264545
2012-06-28 10:15:00,700005,b4364682,2012-06-28,FELONY ASSAULT,E,68,BROOKLYN,N.Y. POLICE DEPT,976833,168961,40.630440553,-74.026722622
2012-06-28 10:30:00,700006,7b2a298f,2012-06-28,GRAND LARCENY,H,60,BROOKLYN,N.Y. POLICE DEPT,981464,148800,40.575105367,-74.0100302279999
2012-06-28 10:30:00,700007,94fa019d,2012-06-28,ROBBERY,N,52,BRONX,N.Y. POLICE DEPT,1016782,260544,40.881755556,-73.8823555609999
2012-06-28 10:40:00,700008,5e020d1f,2012-07-12,FELONY ASSAULT,A,41,BRONX,DEPT OF CORRECTIONS,1016268,227533,40.7911518670001,-73.884371919
2012-06-28 11:00:00,700009,fa7c8663,2012-06-28,FELONY ASSAULT,I,70,BROOKLYN,N.Y. POLICE DEPT,995386,173939,40.64410021,-73.9598736299999
2012-06-28 11:00:00,700010,cfd3885a,2012-06-28,GRAND LARCENY,J,75,BROOKLYN,N.Y. HOUSING POLICE,1016133,178623,40.6569063800001,-73.885091156
2012-06-28 11:00:00,700011,2751b62e,2012-06-28,GRAND LARCENY,G,78,BROOKLYN,N.Y. POLICE DEPT,991739,183816,40.671214245,-73.9730043759999
2012-06-28 11:00:00,700012,cca2b0dd,2012-06-28,GRAND LARCENY,G,94,BROOKLYN,N.Y. POLICE DEPT,996523,204996,40.7293430570001,-73.9557199609999
2012-06-28 11:20:00,700013,1668ac78,2012-06-28,FELONY ASSAULT,B,69,BROOKLYN,N.Y. POLICE DEPT,1010422,174985,40.6469395870001,-73.905688406
2012-06-28 11:30:00,700014,7e663e3a,2012-06-28,ROBBERY,C,81,BROOKLYN,N.Y. POLICE DEPT,1003410,191481,40.692235361,-73.930909851
2012-06-28 11:30:00,700015,c01f3556,2012-06-28,GRAND LARCENY,D,14,MANHATTAN,N.Y. POLICE DEPT,989099,212984,40.75127532,-73.982500299
