OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
700000,5fc54071,06/28/2012 10:00:00 AM,Thursday,Jun,28,2012,10,6,28,2012,GRAND LARCENY,FELONY,F,84,BROOKLYN,N.Y. POLICE DEPT,989387,190637,"(40.689938022, -73.981477894)"
700001,8c408eb0,06/28/2012 10:00:00 AM,Thursday,Jun,28,2012,10,6,28,2012,GRAND LARCENY,FELONY,D,20,MANHATTAN,N.Y. POLICE DEPT,989601,222479,"(40.7773363590001, -73.9806809089999)"
700002,17d5d7a3,06/28/2012 10:00:00 AM,Thursday,Jun,28,2012,10,7,2,2012,GRAND LARCENY,FELONY,C,24,MANHATTAN,N.Y. POLICE DEPT,993575,228739,"(40.7945150910001, -73.966323533)"
700003,830332c1,06/28/2012 10:00:00 AM,Thursday,Jun,28,2012,10,6,28,2012,GRAND LARCENY,FELONY,F,40,BRONX,N.Y. POLICE DEPT,1007034,236608,"(40.8160888740001, -73.917688689)"
700004,423cc12e,06/28/2012 10:03:00 AM,Thursday,Jun,28,2012,10,6,28,2012,GRAND LARCENY OF MOTOR VEHICLE,FELONY,D,32,MANHATTAN,N.Y. POLICE DEPT,1001339,236103,"(40.8147156420001, -73.938264545)"
700005,b4364682,06/28/2012 10:15:00 AM,Thursday,Jun,28,2012,10,6,28,2012,FELONY ASSAULT,FELONY,E,68,BROOKLYN,N.Y. POLICE DEPT,976833,168961,"(40.630440553, -74.026722622)"
700006,7b2a298f,06/28/2012 10:30:00 AM,Thursday,Jun,28,2012,10,6,28,2012,GRAND LARCENY,FELONY,H,60,BROOKLYN,N.Y. POLICE DEPT,981464,148800,"(40.575105367, -74.0100302279999)"
700007,94fa019d,06/28/2012 10:30:00 AM,Thursday,Jun,28,2012,10,6,28,2012,ROBBERY,FELONY,N,52,BRONX,N.Y. POLICE DEPT,1016782,260544,"(40.881755556, -73.8823555609999)"
700008,5e020d1f,06/28/2012 10:40:00 AM,Thursday,Jun,28,2012,10,7,12,2012,FELONY ASSAULT,FELONY,A,41,BRONX,DEPT OF CORRECTIONS,1016268,227533,"(40.7911518670001, -73.884371919)"
700009,fa7c8663,06/28/2012 11:00:00 AM,Thursday,Jun,28,2012,11,6,28,2012,FELONY ASSAULT,FELONY,I,70,BROOKLYN,N.Y. POLICE DEPT,995386,173939,"(40.64410021, -73.9598736299999)"
700010,cfd3885a,06/28/2012 11:00:00 AM,Thursday,Jun,28,2012,11,6,28,2012,GRAND LARCENY,FELONY,J,75,BROOKLYN,N.Y. HOUSING POLICE,1016133,178623,"(40.6569063800001, -73.885091156)"
700011,2751b62e,06/28/2012 11:00:00 AM,Thursday,Jun,28,2012,11,6,28,2012,GRAND LARCENY,FELONY,G,78,BROOKLYN,N.Y. POLICE DEPT,991739,183816,"(40.671214245, -73.9730043759999)"
700012,cca2b0dd,06/28/2012 11:00:00 AM,Thursday,Jun,28,2012,11,6,28,2012,GRAND LARCENY,FELONY,G,94,BROOKLYN,N.Y. POLICE DEPT,996523,204996,"(40.7293430570001, -73.9557199609999)"
700013,1668ac78,06/28/2012 11:20:00 AM,Thursday,Jun,28,2012,11,6,28,2012,FELONY ASSAULT,FELONY,B,69,BROOKLYN,N.Y. POLICE DEPT,1010422,174985,"(40.6469395870001, -73.905688406)"
700014,7e663e3a,06/28/2012 11:30:00 AM,Thursday,Jun,28,2012,11,6,28,2012,ROBBERY,FELONY,C,81,BROOKLYN,N.Y. POLICE DEPT,1003410,191481,"(40.692235361, -73.930909851)"
700015,c01f3556,06/28/2012 11:30:00 AM,Thursday,Jun,28,2012,11,6,28,2012,GRAND LARCENY,FELONY,D,14,MANHATTAN,N.Y. POLICE DEPT,989099,212984,"(40.75127532, -73.982500299)"
