datetimestop,frisked,searched,arstmade,sumissue,gun_found,other_found,was_force_used,forceuse_reason,ac_ongoing_report,ac_miscellaneous,longitude,latitude,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,cs_other,race,age,sex,weight,year,ser_num,pct,beat,sector,xcoord,ycoord,addrpct,addrnum,stname,stinter,crossst,premname,arstoffn,sumoffen,crimsusp,detailcm
2015-01-01 31:05,Y,N,N,N,N,N,N,,Y,Y,-73.94296,40.59571,N,Y,Y,N,N,N,N,N,N,N,W,33,M,190,2015,18,61,7,E,1000091,156314,61,,,AVENUE W,EAST 28 STREET,STREET,,,FELONY,14
2015-01-15 17:47,Y,N,N,N,N,N,Y,SF,Y,Y,-73.96256,40.79163,N,Y,N,N,N,N,Y,N,N,Y,B,14,M,140,2015,5,22,14,E,994617,227693,22,,,TRANSVERSE ROAD NUMBER FOUR,WEST DRIVE,119 W. 104 ST,,,FELONY,20
2015-01-29 17:45,N,N,N,N,N,N,Y,SF,Y,N,-73.97378,40.7843,N,N,N,N,N,N,Y,N,N,Y,B,14,M,140,2015,36,20,,H,991510,225019,20,472,COLUMBUS AVENUE,WEST 83 STREET,WEST 82 STREET,STREET,,,MISD,78
2015-01-29 17:45,N,N,N,N,N,N,N,,Y,Y,-73.97378,40.7843,N,N,N,N,N,N,Y,N,N,Y,B,14,M,180,2015,38,20,,H,991510,225019,20,472,COLUMBUS AVENUE,WEST 83 STREET,WEST 82 STREET,STREET,,,MIDS,78
2015-01-29 17:45,N,N,N,N,N,N,Y,SF,Y,Y,-73.97378,40.7843,N,N,N,N,N,N,Y,N,N,Y,B,13,M,160,2015,41,20,,H,991510,225019,20,472,COLUMBUS AVENUE,WEST 83 STREET,WEST 82 STREET,STREET,,,MISD,78
2015-01-29 17:45,N,N,N,N,N,N,Y,SF,Y,Y,-73.97378,40.7843,N,N,N,N,N,N,Y,N,N,Y,W,13,M,130,2015,39,20,,H,991510,225019,20,472,COLUMBUS AVENUE,WEST 83 STREET,WEST 82 STREET,STREET,,,MISD,78
2015-02-06 21:55,Y,N,N,N,N,N,N,,N,Y,-73.92322,40.65911,N,N,N,N,N,N,Y,N,N,N,B,25,M,160,2015,122,67,,M,1005554,179416,67,,,EAST 93 STREET,CLARKSON AVENUE,,,,FEL,20
2015-02-07 21:15,Y,N,N,N,N,N,N,,Y,Y,-73.9763,40.71568,N,Y,Y,Y,N,N,N,N,N,N,B,15,M,150,2015,37,7,6,E,990820,200020,7,521,ROOSEVELT DRIVE,RIVINGTON STREET,DELANCEY STREET,LOBBY,,,FEL,85
2015-02-12 14:05,Y,N,N,N,N,N,Y,OR,N,Y,-73.9882,40.71856,N,N,Y,Y,N,N,N,N,N,N,B,23,M,160,2015,42,7,2,B,987521,201066,7,,,ESSEX STREET,DELANCEY STREET,MEZZ,,,FEL,45
2015-02-14 20:00,N,N,N,N,N,N,N,,Y,N,-74.03672,40.6195,N,Y,N,N,N,N,N,N,N,Y,W,16,M,150,2015,9,68,,G,974057,164979,68,142,93 STREET,RIDGE BOULEVARD,MARINE AVENUE,STREET,,,FEONY,14
2015-02-18 21:25,Y,N,N,N,N,N,N,,Y,Y,-73.94823,40.63822,N,Y,N,N,N,N,N,N,N,N,B,30,M,160,2015,76,70,15,G,998617,171801,70,1930,NOSTRAND AVENUE,FARRAGUT ROAD,FOSTER AVENUE,MCDONALDS,,,FELONY/ROBBERY,85
2015-03-14 00:15,Y,N,N,N,N,N,Y,DS,Y,N,-73.88086,40.66717,N,Y,N,N,N,N,N,N,N,N,B,18,M,160,2015,141,75,,K,1017302,182366,75,,,LINWOOD STREET,NEW LOTS AVENUE,794 NEW LOTS ( RESIDENCE),,,ROBBERY,85
2015-01-01 00:10,Y,N,N,N,N,N,N,,Y,Y,-73.99073,40.75595,N,Y,N,N,N,N,N,N,N,N,Q,48,M,160,2015,2,14,4,G,986819,214690,14,,,WEST 40 STREET,8 AVENUE,SIDEWALK,,,FEL,85
2015-01-01 00:50,Y,N,N,N,N,N,Y,OR,Y,Y,-74.1663,40.6327,N,Y,N,N,N,N,N,N,N,Y,B,16,M,160,2015,1,121,,A,938092,169830,121,281,SOUTH AVENUE,BRABANT STREET,STATEN ISLAND RAILROAD,DELI,,,FELONY,85
2015-01-01 11:05,Y,Y,Y,N,N,N,Y,OT,N,Y,-73.93742,40.80438,N,N,N,N,N,N,N,Y,N,N,B,26,M,155,2015,5,25,,B,1001575,232339,25,,,LEXINGTON AVENUE,EAST 125 STREET,MEZZ,240.20,,MISD,9
2015-01-01 13:00,N,N,N,N,N,N,N,,N,Y,-73.93541,40.796,N,N,N,N,N,Y,N,Y,N,N,B,14,M,120,2015,19,25,,A,1002134,229289,25,,,1 AVENUE,EAST 116 STREET,PUBLIC SIDEWALK,,,ASSAULT,9
2015-01-01 14:00,Y,N,N,N,N,N,N,,Y,Y,-73.99454,40.75352,N,Y,N,N,N,N,N,N,N,Y,B,26,M,165,2015,1,14,4,G,985764,213806,14,357,WEST 35 STREET,9 AVENUE,8 AVENUE,MTS PCT,,,MISD,9
2015-01-01 22:05,Y,N,N,N,N,N,Y,SW,Y,N,-73.90884,40.76601,N,Y,N,N,N,N,N,N,N,N,Q,23,M,160,2015,13,114,,D,1009502,218368,114,25-73,44 STREET,28 AVENUE,25 AVENUE,"HOUSE, YARD",,,FEL,20
2015-01-01 22:09,Y,Y,Y,N,N,Y,Y,DS,Y,Y,-73.93584,40.84396,N,N,N,N,N,N,Y,N,Y,N,P,19,M,150,2015,2,33,9,C,1002001,246760,33,174,AUDUBON AVENUE,WEST 174 STREET,WEST 173 STREET,STREET,265.02,,FELONY,20
2015-01-01 23:00,Y,N,N,N,N,N,Y,SW,Y,Y,-73.94133,40.81857,N,Y,N,N,Y,N,Y,Y,N,N,B,99,F,180,2015,1,32,7,J,1000489,237510,32,2400,7 AVENUE,WEST 141 STREET,WEST 140 STREET,,,,CPW FIREARM/ASSULAT 1,20
2015-01-01 24:00,Y,N,N,N,N,N,Y,OT,Y,Y,-73.9431,40.69382,N,N,N,N,N,N,N,N,N,Y,Z,24,Z,150,2015,2,79,14,E,1000029,192060,79,,,THROOP AVENUE,HART STREET,BODEGA,,,ROBBERY,85
2015-01-01 30:00,Y,N,N,N,N,N,N,,Y,Y,-73.99266,40.64355,N,Y,N,N,N,N,N,N,N,N,Q,23,M,185,2015,3,66,,J,986286,173740,66,1030,40 STREET,FORT HAMILTON PARKWAY,10 AVENUE,SIDEWALK,,,FEL,85
2015-01-01 30:00,Y,N,N,N,N,N,N,,Y,Y,-73.99266,40.64355,N,Y,N,N,N,N,N,N,N,N,Q,22,M,140,2015,2,66,,J,986286,173740,66,1030,40 STREET,FORT HAMILTON PARKWAY,10 AVENUE,SIDEWALK,,,FEL,85
2015-01-01 30:00,Y,N,N,N,N,N,N,,Y,Y,-73.99266,40.64355,N,Y,N,N,N,N,N,N,N,N,Q,24,M,180,2015,1,66,,J,986286,173740,66,1030,40 STREET,FORT HAMILTON PARKWAY,10 AVENUE,SIDEWALK,,,FEL,85
2015-01-01 31:05,Y,N,N,N,N,N,N,,N,Y,-73.90451,40.76459,N,N,N,N,N,N,Y,N,N,N,Q,32,F,140,2015,6,114,,A,1010701,217852,114,,,49 STREET,25 AVENUE,STREET,,,FEL,46
2015-01-01 31:05,Y,N,N,N,N,N,N,,N,Y,-73.90451,40.76459,N,N,N,N,N,N,Y,N,N,Y,W,35,M,170,2015,5,114,,A,1010701,217852,114,,,25 AVENUE,49 STREET,STREET,,,FEL,46
2015-01-01 31:05,Y,N,N,N,N,N,N,,N,N,-73.94699,40.617,N,N,N,N,N,N,Y,N,N,N,W,33,M,195,2015,12,70,2,B,998966,164071,70,,,AVENUE N,EAST 28 STREET,,,,FEL,14
2015-01-01 43:00,N,N,N,Y,N,N,N,,Y,Y,-73.8275,40.68576,N,Y,N,N,N,N,N,N,N,N,A,39,M,170,2015,1,106,,F,1032091,189164,106,115-22,LIBERTY AVENUE,116 STREET,115 STREET,BAR,,DIS CON,FELONY,9
2015-01-01 45:00,Y,N,N,N,N,N,Y,SW,N,Y,-73.91021,40.81346,N,Y,N,N,N,N,Y,N,Y,N,B,20,M,180,2015,1,40,13,C,1009105,235656,40,674,EAST 149 STREET,TRINITY AVENUE,MOORE HOUSES,STREET,,,FEL,20
2015-01-01 53:00,N,N,N,N,N,N,N,,Y,Y,-73.98747,40.7604,N,Y,N,N,N,N,N,N,N,N,B,30,M,150,2015,1,18,,F,987720,216313,18,,,8 AVENUE,WEST 47 STREET,,,,MISD,9
2015-01-01 13:50,N,N,N,N,N,N,Y,DS,Y,Y,-73.98235,40.77769,N,Y,N,N,N,N,N,N,N,N,B,35,M,170,2015,1,20,,C,989139,222610,20,2049,BROADWAY,WEST 70 STREET,WEST 69 STREET,RESTAURANT,,,MISD,20
2015-01-01 14:00,Y,N,N,N,N,N,Y,OT,Y,Y,-73.95091,40.63609,N,Y,N,N,N,N,N,N,N,N,B,20,M,160,2015,1,70,14,G,997876,171024,70,,,FARRAGUT ROAD,FLATBUSH AVENUE,SIDEWALK,,,FELONY/CPW,20
2015-01-01 14:10,N,N,N,N,N,N,N,,N,Y,-73.89049,40.82428,Y,N,N,Y,N,N,N,N,N,Y,P,44,M,200,2015,2,41,8,H,1014559,239605,41,1042,HOE AVENUE,EAST 165 STREET,ALDUS STREET,PUBLIC STREET,,,GLA,46
2015-01-01 14:10,N,N,N,N,N,N,N,,N,N,-73.89049,40.82428,Y,N,N,N,N,N,N,N,N,N,Z,32,Z,160,2015,1,41,8,H,1014559,239605,41,1042,HOE AVENUE,EAST 165 STREET,ALDUS STREET,STREET,,,GLA,46
2015-01-01 15:55,N,N,N,N,N,N,N,,Y,N,-73.88898,40.66743,N,N,N,N,N,N,N,N,N,Y,Q,42,F,150,2015,11,75,,G,1015049,182457,75,506,VAN SICLEN AVENUE,DUMONT AVENUE,BLAKE AVENUE,HOUSE,,,CPW,20
2015-01-01 15:55,Y,N,N,N,N,N,N,,Y,N,-73.88898,40.66743,N,N,N,N,N,N,N,N,N,Y,Q,20,M,120,2015,13,75,,G,1015049,182457,75,506,VAN SICLEN AVENUE,DUMONT AVENUE,BLAKE AVENUE,HOUSE,,,CPW,20
2015-01-01 15:55,Y,N,N,N,N,N,N,,Y,N,-73.88898,40.66743,N,N,N,N,N,N,N,N,N,Y,Q,48,M,325,2015,12,75,,G,1015049,182457,75,506,VAN SICLEN AVENUE,DUMONT AVENUE,BLAKE AVENUE,HOUSE,,,CPW,20
