cds,academic_year,county_code,district_code,school_code,county_name,district_name,school_name,is_nslp_provision_2or3,charter_school_number,charter_funding_type,low_grade,high_grade,enrollment_k12,unadjusted_free_meal_count_k12,adjusted_free_meal_count_k12,adjusted_pct_eligible_free_k12,unadjusted_frpm_count_k12,adjusted_frpm_count_k12,adjusted_pct_eligible_frpm_k12,enrollment_5to17,unadjusted_free_meal_count_5to17,adjusted_free_meal_count_5to17,adjusted_pct_eligible_free_5to17,unadjusted_frpm_count_5to17,adjusted_frpm_count_5to17,adjusted_pct_eligible_frpm_5to17,calpads_certification_status
01100170109835,2013-14,01,10017,0109835,Alameda,Alameda County Office of Education,FAME Public Charter,N,0728,Directly funded,K,12,1332.0,529.0,547.0,0.41066066066066065,652.0,669.0,0.5022522522522522,1319.0,523.0,541.0,0.41015921152388174,645.0,662.0,0.5018953752843063,Y
01100170112607,2013-14,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,N,0811,Directly funded,9,12,343.0,227.0,233.0,0.6793002915451894,260.0,265.0,0.7725947521865889,335.0,221.0,227.0,0.6776119402985075,254.0,259.0,0.7731343283582089,Y
01100170118489,2013-14,01,10017,0118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,N,1049,Directly funded,9,12,230.0,114.0,114.0,0.4956521739130435,152.0,152.0,0.6608695652173913,210.0,106.0,106.0,0.5047619047619047,139.0,139.0,0.6619047619047619,Y
01100170123968,2013-14,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,N,1284,Directly funded,K,8,172.0,104.0,106.0,0.6162790697674418,125.0,125.0,0.7267441860465116,164.0,102.0,104.0,0.6341463414634146,121.0,121.0,0.7378048780487805,Y
01100170124172,2013-14,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,N,1296,Directly funded,K,8,211.0,20.0,20.0,0.0947867298578199,23.0,23.0,0.10900473933649289,211.0,20.0,20.0,0.0947867298578199,23.0,23.0,0.10900473933649289,Y
01100170125567,2013-14,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,N,1383,Directly funded,K,8,214.0,69.0,70.0,0.32710280373831774,83.0,84.0,0.3925233644859813,214.0,69.0,70.0,0.32710280373831774,83.0,84.0,0.3925233644859813,Y
01100170130401,2013-14,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,N,,,K,12,200.0,43.0,54.0,0.27,43.0,54.0,0.27,185.0,41.0,52.0,0.2810810810810811,41.0,52.0,0.2810810810810811,Y
01100170130419,2013-14,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,N,,,K,12,278.0,203.0,203.0,0.7302158273381295,215.0,215.0,0.7733812949640287,230.0,166.0,166.0,0.7217391304347827,176.0,176.0,0.7652173913043478,Y
01100176001788,2013-14,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,N,0740,Directly funded,K,5,558.0,485.0,487.0,0.8727598566308243,549.0,550.0,0.985663082437276,538.0,470.0,472.0,0.8773234200743495,529.0,530.0,0.9851301115241635,Y
01100176002000,2013-14,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,Y,1464,Directly funded,K,8,401.0,317.0,318.0,0.7930174563591023,399.0,399.0,0.9950124688279302,401.0,317.0,318.0,0.7930174563591023,399.0,399.0,0.9950124688279302,Y
01316090131755,2013-14,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,N,,,1,Adult,72.0,71.0,71.0,0.9861111111111112,71.0,71.0,0.9861111111111112,34.0,33.0,33.0,0.9705882352941176,33.0,33.0,0.9705882352941176,Y
01316170131763,2013-14,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,Y,,,P,12,404.0,403.0,403.0,0.9975247524752475,403.0,403.0,0.9975247524752475,324.0,323.0,323.0,0.9969135802469136,323.0,323.0,0.9969135802469136,Y
01611190000001,2013-14,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",N,,,,,29.0,1.0,1.0,0.034482758620689655,1.0,1.0,0.034482758620689655,26.0,1.0,1.0,0.038461538461538464,1.0,1.0,0.038461538461538464,Y
01611190106401,2013-14,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,N,,,9,12,170.0,33.0,33.0,0.19411764705882353,40.0,40.0,0.23529411764705882,168.0,31.0,31.0,0.18452380952380953,38.0,38.0,0.2261904761904762,Y
01611190111765,2013-14,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,N,,,K,5,579.0,345.0,345.0,0.5958549222797928,406.0,406.0,0.7012089810017271,579.0,345.0,345.0,0.5958549222797928,406.0,406.0,0.7012089810017271,Y
01611190119222,2013-14,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,N,1066,Directly funded,K,12,510.0,130.0,131.0,0.2568627450980392,154.0,155.0,0.30392156862745096,502.0,124.0,125.0,0.24900398406374502,148.0,149.0,0.2968127490039841,Y
01611190122085,2013-14,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,N,1181,Directly funded,6,8,481.0,211.0,212.0,0.4407484407484408,243.0,244.0,0.5072765072765073,481.0,211.0,212.0,0.4407484407484408,243.0,244.0,0.5072765072765073,Y
01611190126656,2013-14,01,61119,0126656,Alameda,Alameda Unified,Maya Lin,N,,,K,8,325.0,137.0,137.0,0.42153846153846153,152.0,152.0,0.4676923076923077,305.0,133.0,133.0,0.4360655737704918,148.0,148.0,0.4852459016393443,Y
01611190128199,2013-14,01,61119,0128199,Alameda,Alameda Unified,Encinal Junior Jets,N,,,6,8,184.0,97.0,97.0,0.5271739130434783,115.0,115.0,0.625,184.0,97.0,97.0,0.5271739130434783,115.0,115.0,0.625,Y
01611190130229,2013-14,01,61119,0130229,Alameda,Alameda Unified,Alameda High,N,,,9,12,1787.0,353.0,358.0,0.20033575825405708,403.0,408.0,0.22831561275881365,1718.0,334.0,339.0,0.19732246798603026,381.0,386.0,0.22467986030267753,Y
01611190130609,2013-14,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,N,0352,Directly funded,6,12,332.0,69.0,70.0,0.21084337349397592,77.0,78.0,0.23493975903614459,330.0,69.0,70.0,0.21212121212121213,77.0,78.0,0.23636363636363636,Y
01611190130625,2013-14,01,61119,0130625,Alameda,Alameda Unified,Bay Area School of Enterprise,N,0398,Directly funded,9,12,140.0,112.0,114.0,0.8142857142857143,128.0,130.0,0.9285714285714286,125.0,101.0,102.0,0.816,117.0,118.0,0.944,Y
01611190132878,2013-14,01,61119,0132878,Alameda,Alameda Unified,Encinal High,N,,,9,12,1038.0,423.0,427.0,0.4113680154142582,467.0,471.0,0.45375722543352603,996.0,405.0,408.0,0.40963855421686746,448.0,451.0,0.4528112449799197,Y
01611190134304,2013-14,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),N,,,9,12,172.0,88.0,89.0,0.5174418604651163,93.0,94.0,0.5465116279069767,108.0,49.0,49.0,0.4537037037037037,54.0,54.0,0.5,Y
01611196090005,2013-14,01,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,N,,,K,5,509.0,146.0,147.0,0.2888015717092338,168.0,169.0,0.3320235756385069,508.0,146.0,147.0,0.28937007874015747,168.0,169.0,0.33267716535433073,Y
01611196090013,2013-14,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,N,,,K,5,484.0,56.0,56.0,0.11570247933884298,62.0,62.0,0.128099173553719,484.0,56.0,56.0,0.11570247933884298,62.0,62.0,0.128099173553719,Y
01611196090021,2013-14,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,N,,,K,5,565.0,85.0,85.0,0.1504424778761062,104.0,104.0,0.184070796460177,565.0,85.0,85.0,0.1504424778761062,104.0,104.0,0.184070796460177,Y
01611196090039,2013-14,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,N,,,K,5,311.0,53.0,53.0,0.17041800643086816,60.0,60.0,0.19292604501607716,311.0,53.0,53.0,0.17041800643086816,60.0,60.0,0.19292604501607716,Y
01611196090047,2013-14,01,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,N,,,K,5,438.0,220.0,220.0,0.502283105022831,244.0,244.0,0.5570776255707762,415.0,212.0,212.0,0.5108433734939759,236.0,236.0,0.5686746987951807,Y
01611196090054,2013-14,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,N,,,6,8,956.0,142.0,144.0,0.1506276150627615,181.0,183.0,0.19142259414225943,956.0,142.0,144.0,0.1506276150627615,181.0,183.0,0.19142259414225943,Y
01611196090112,2013-14,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,N,,,6,8,429.0,221.0,221.0,0.5151515151515151,248.0,248.0,0.578088578088578,429.0,221.0,221.0,0.5151515151515151,248.0,248.0,0.578088578088578,Y
01611196090120,2013-14,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,N,,,K,5,329.0,137.0,139.0,0.42249240121580545,157.0,157.0,0.47720364741641336,311.0,132.0,134.0,0.43086816720257237,150.0,150.0,0.48231511254019294,Y
