cds,record_type,school_name,district_name,county_name,enrollment_9_12,number_of_test_takers,avg_reading_score,avg_math_score,avg_writing_score,number_scores_gte_1500,percent_scores_gte_1500
00000000000000,X,,,,1952314,296908,492,506,489,137030,46.15
01000000000000,C,,,Alameda,66686,12919,517,541,520,7382,57.14
01100170000000,D,,Alameda County Office of Educa,Alameda,1308,112,423,419,425,22,19.64
01100170109835,S,FAME Public Charter,Alameda County Office of Educa,Alameda,289,19,561,544,535,14,73.68
01100170112607,S,Envision Academy for Arts & Technology,Alameda County Office of Educa,Alameda,343,93,395,394,402,8,8.60
01100170118489,S,Aspire California College Preparatory Ac,Alameda County Office of Educa,Alameda,230,0,NA,NA,NA,NA,NA
01316170000000,D,,California School for the Deaf,Alameda,220,0,NA,NA,NA,NA,NA
01611190000000,D,,Alameda Unified,Alameda,3555,798,523,552,523,511,64.04
01611190106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,169,61,562,594,560,50,81.97
01611190119222,S,Nea Community Learning Center,Alameda Unified,Alameda,106,15,524,523,507,9,60.00
01611190130229,S,Alameda High,Alameda Unified,Alameda,1758,487,535,570,539,332,68.17
01611190130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,158,34,583,588,559,29,85.29
01611190130625,S,Bay Area School of Enterprise,Alameda Unified,Alameda,139,31,328,329,345,0,0
01611190132878,S,Encinal High,Alameda Unified,Alameda,1038,182,503,525,494,99,54.40
01611190134304,S,Island High (Continuation),Alameda Unified,Alameda,172,3,*,*,*,*,*
01611270000000,D,,Albany City Unified,Alameda,1199,280,569,599,567,218,77.86
01611270130450,S,Albany High,Albany City Unified,Alameda,1181,280,569,599,567,218,77.86
01611430000000,D,,Berkeley Unified,Alameda,3556,741,566,566,561,523,70.58
01611430122697,S,REALM Charter High,Berkeley Unified,Alameda,287,18,399,394,393,1,5.56
01611430131177,S,Berkeley High,Berkeley Unified,Alameda,3145,738,566,567,562,523,70.87
01611430134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,102,3,*,*,*,*,*
01611500000000,D,,Castro Valley Unified,Alameda,3136,682,530,565,527,441,64.66
01611500132225,S,Castro Valley High,Castro Valley Unified,Alameda,3000,682,530,565,527,441,64.66
01611680000000,D,,Emery Unified,Alameda,218,55,409,446,420,10,18.18
01611680132746,S,Emery Secondary,Emery Unified,Alameda,218,55,409,446,420,10,18.18
01611760000000,D,,Fremont Unified,Alameda,9998,2264,575,618,589,1770,78.18
01611760130062,S,American High,Fremont Unified,Alameda,1960,465,565,607,579,365,78.49
01611760130138,S,Robertson High (Continuation),Fremont Unified,Alameda,216,2,*,*,*,*,*
